"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"505",-235.264,-8.40671,1.91271,0.987244,0.674026,5.37141,0.715912,0.997625,1,0,0,1,505,1,1
"506",-266.21,-0.994356,1.75491,1.05574,0.751652,5.65288,0.763309,0.969163,1,0,0,1,506,1,1
"507",-215.164,-2.31914,1.78856,1.04848,0.873436,5.51551,0.752725,1.02371,1,0,0,1,507,1,1
"508",-211.648,-1.25737,1.79775,1.03065,0.84034,5.78995,0.768567,0.96273,1,0,0,1,508,1,1
"509",-213.897,-2.57907,1.77818,1.02685,0.885317,5.77159,0.767908,1.02064,1,0,0,1,509,1,1
"510",-268.618,-7.33199,1.72776,1.04502,0.770093,5.88958,0.790527,0.916916,1,0,0,1,510,1,1
"511",-229.731,-0.662619,1.8351,1.0334,0.73811,5.63036,0.752395,0.973743,1,0,0,1,511,1,1
"512",-266.462,-2.05405,1.80094,1.03631,0.75904,5.98276,0.762845,0.994923,1,0,0,1,512,1,1
"513",-267.046,-2.19282,1.74045,1.05557,0.842729,5.77934,0.751438,0.96322,1,0,0,1,513,1,1
"514",-232.739,-4.72301,1.76057,1.05775,0.821883,5.34805,0.702779,0.968798,1,0,0,1,514,1,1
"515",-232.807,-1.19885,1.79459,1.08481,0.777295,5.56473,0.746701,1.00462,1,0,0,1,515,1,1
"516",-236.911,-6.22749,1.78318,0.944635,0.803494,5.34046,0.709877,0.985736,1,0,0,1,516,1,1
"517",-215.381,-6.15474,1.91326,1.04847,0.814462,5.99848,0.750011,0.992787,1,0,0,1,517,1,1
"518",-216.206,-3.23819,1.84797,0.971158,0.737072,5.5662,0.773553,0.957814,1,0,0,1,518,1,1
"519",-230.475,-2.85435,1.7601,1.06921,0.734373,5.38911,0.737757,0.956859,1,0,0,1,519,1,1
"520",-303.576,-4.99413,1.79166,1.01377,0.640289,5.93229,0.724233,0.957249,1,0,0,1,520,1,1
"521",-326.748,-4.07552,1.80321,1.14098,0.792115,5.81011,0.775652,0.989476,1,0,0,1,521,1,1
"522",-215.009,-2.75208,1.7838,1.06409,0.902763,5.45216,0.745018,1.00869,1,0,0,1,522,1,1
"523",-234.641,-3.32108,1.78172,0.966172,0.80712,5.61858,0.74182,1.02753,1,0,0,1,523,1,1
"524",-231.999,-4.10922,1.86149,0.9935,0.768735,5.87774,0.724857,1.01381,1,0,0,1,524,1,1
"525",-231.756,-1.54124,1.83096,1.0849,0.805065,5.73119,0.738382,0.99199,1,0,0,1,525,1,1
"526",-214.687,-2.71228,1.85805,1.02564,0.782042,5.69292,0.757277,0.940369,1,0,0,1,526,1,1
"527",-230.674,-5.65632,1.77607,0.946051,0.660882,5.7035,0.783204,0.958042,1,0,0,1,527,1,1
"528",-213.429,-1.78356,1.86494,1.03989,0.774385,5.5631,0.760612,1.00347,1,0,0,1,528,1,1
"529",-215.762,-2.35964,1.81241,1.02099,0.885279,5.56339,0.718071,0.990514,1,0,0,1,529,1,1
"530",-217.198,-4.88978,1.88638,1.01124,0.842527,5.64043,0.721146,1.02198,1,0,0,1,530,1,1
"531",-270.089,-1.83616,1.76726,1.09181,0.707345,5.697,0.748859,0.989684,1,0,0,1,531,1,1
"532",-271.694,-6.19235,1.85,1.11428,0.827963,6.01372,0.720182,0.970396,1,0,0,1,532,1,1
"533",-212.886,-1.232,1.79309,1.03294,0.776312,5.59283,0.789892,0.999481,1,0,0,1,533,1,1
"534",-232.362,-2.08679,1.77003,1.00601,0.711372,5.62776,0.737069,1.01828,1,0,0,1,534,1,1
"535",-234.751,-3.00087,1.7218,1.03291,0.815404,5.6601,0.744039,1.01949,1,0,0,1,535,1,1
"536",-215.279,-2.33107,1.80723,1.04631,0.861554,5.53018,0.763748,0.942728,1,0,0,1,536,1,1
"537",-214.047,-3.42724,1.87642,1.04868,0.796657,5.79947,0.754753,1.02191,1,0,0,1,537,1,1
"538",-215.191,-4.70795,1.80551,1.01025,0.912953,5.86281,0.802048,0.961272,1,0,0,1,538,1,1
"539",-214.53,-5.62961,1.75703,1.07558,0.755686,5.21484,0.782782,0.954548,1,0,0,1,539,1,1
"540",-232.822,-2.91329,1.82168,1.01717,0.854091,5.85086,0.721345,1.00893,1,0,0,1,540,1,1
"541",-212.91,-1.32543,1.7865,1.02662,0.781109,5.53902,0.7874,0.967027,1,0,0,1,541,1,1
"542",-232.063,-4.49937,1.80551,0.999673,0.640874,5.37786,0.7721,1.00876,1,0,0,1,542,1,1
"543",-267.188,-1.13863,1.78345,1.05271,0.698212,5.59596,0.763253,1.00126,1,0,0,1,543,1,1
"544",-306.708,-4.37427,1.70368,1.02279,0.739651,5.89892,0.735877,0.985123,1,0,0,1,544,1,1
"545",-212.084,-2.00799,1.75706,1.03419,0.885743,5.78902,0.766392,0.988196,1,0,0,1,545,1,1
"546",-232.039,-1.59267,1.78185,1.01338,0.750635,5.6509,0.762215,1.02463,1,0,0,1,546,1,1
"547",-217.227,-4.20937,1.71166,1.03589,0.857628,5.56817,0.760193,1.02342,1,0,0,1,547,1,1
"548",-310.009,-4.33477,1.76024,1.07926,0.837069,5.95564,0.714369,0.974527,1,0,0,1,548,1,1
"549",-230.053,-0.753645,1.81103,1.0496,0.742554,5.52646,0.73984,0.997066,1,0,0,1,549,1,1
"550",-229.358,-2.94069,1.8082,0.993295,0.638937,5.64169,0.753305,0.971409,1,0,0,1,550,1,1
"551",-212.79,-0.902867,1.76639,1.03234,0.834592,5.52454,0.754598,0.993964,1,0,0,1,551,1,1
"552",-232.216,-2.39755,1.7192,1.01482,0.803415,5.72316,0.745618,0.993266,1,0,0,1,552,1,1
"553",-327.403,-4.84553,1.78926,1.11129,0.662647,5.82379,0.774233,1.01668,1,0,0,1,553,1,1
"554",-233.053,-4.64581,1.8293,0.952425,0.723339,5.55243,0.711409,0.983345,1,0,0,1,554,1,1
"555",-265.99,-1.33134,1.80191,1.05274,0.747229,5.9031,0.760163,0.982298,1,0,0,1,555,1,1
"556",-244.261,-0.787296,1.7835,1.0628,0.749821,5.62349,0.760315,1.00656,1,0,0,1,556,1,1
"557",-234.015,-2.02549,1.82061,1.02227,0.733262,5.91722,0.733852,0.976449,1,0,0,1,557,1,1
"558",-213.713,-1.14259,1.79688,1.02265,0.869075,5.55681,0.737923,0.977487,1,0,0,1,558,1,1
"559",-213.005,-0.603326,1.82423,1.05592,0.775666,5.68432,0.765592,0.99601,1,0,0,1,559,1,1
"560",-219.743,-4.49085,1.8818,0.996885,0.787559,5.33658,0.745167,0.966982,1,0,0,1,560,1,1
"561",-230.208,-3.58755,1.747,0.967152,0.816366,5.80254,0.751604,0.955468,1,0,0,1,561,1,1
"562",-267.166,-2.33598,1.8058,1.08079,0.784339,5.89814,0.781924,0.986272,1,0,0,1,562,1,1
"563",-249.766,-5.41883,1.83343,1.07739,0.850014,6.04823,0.79073,1.00589,1,0,0,1,563,1,1
"564",-267.527,-2.36953,1.79804,1.08094,0.678757,5.47221,0.768558,0.991647,1,0,0,1,564,1,1
"565",-215.585,-3.67363,1.81446,1.06581,0.804734,5.62527,0.81841,0.996155,1,0,0,1,565,1,1
"566",-269.696,-1.81476,1.79855,1.01049,0.696086,5.8466,0.738211,0.978936,1,0,0,1,566,1,1
"567",-224.337,-7.56016,1.87808,0.987906,0.898085,5.70654,0.756411,0.917886,1,0,0,1,567,1,1
"568",-230.768,-2.07356,1.86146,1.03982,0.765182,5.63801,0.727316,0.966489,1,0,0,1,568,1,1
"569",-231.685,-3.07876,1.8076,1.02791,0.698213,5.54441,0.703678,0.987717,1,0,0,1,569,1,1
"570",-270.717,-2.9974,1.76732,1.09954,0.803687,5.55378,0.727804,1.01506,1,0,0,1,570,1,1
"571",-266.114,-1.02591,1.78208,1.06641,0.764342,5.75839,0.764329,0.963444,1,0,0,1,571,1,1
"572",-234.207,-6.64143,1.68846,0.977274,0.734647,5.43173,0.736416,1.00879,1,0,0,1,572,1,1
"573",-251.731,-3.36631,1.79119,1.12029,0.734123,5.47147,0.771374,1.00552,1,0,0,1,573,1,1
"574",-266.881,-2.35636,1.76809,1.05934,0.798688,5.95973,0.770569,0.989511,1,0,0,1,574,1,1
"575",-214.636,-3.36534,1.87868,1.06692,0.751026,5.45485,0.758454,0.959899,1,0,0,1,575,1,1
"576",-230.761,-2.88418,1.8327,1.06814,0.752961,5.48141,0.719622,0.954416,1,0,0,1,576,1,1
"577",-306.023,-6.71971,1.7607,1.02493,0.64228,5.95499,0.764077,0.928419,1,0,0,1,577,1,1
"578",-212.691,-0.950183,1.81625,1.02092,0.787657,5.64417,0.782432,0.996762,1,0,0,1,578,1,1
"579",-214.189,-1.8687,1.81431,1.06875,0.836417,5.41993,0.766388,0.969259,1,0,0,1,579,1,1
"580",-222.171,-4.85434,1.80671,1.015,0.990228,5.48255,0.786541,0.976788,1,0,0,1,580,1,1
"581",-212.642,-2.75884,1.72654,1.0187,0.846696,5.53029,0.766889,0.964067,1,0,0,1,581,1,1
"582",-229.564,-2.46146,1.81801,1.02897,0.675148,5.41923,0.734434,0.978502,1,0,0,1,582,1,1
"583",-214.931,-3.318,1.83584,1.06231,0.751016,5.67412,0.786302,0.937399,1,0,0,1,583,1,1
"584",-230.428,-1.10554,1.83951,1.01315,0.76738,5.6502,0.73244,0.979751,1,0,0,1,584,1,1
"585",-233.688,-3.86049,1.81734,0.968773,0.884511,5.83648,0.731162,1.00021,1,0,0,1,585,1,1
"586",-325.508,-2.79674,1.78233,1.10811,0.695307,5.77816,0.767689,0.986451,1,0,0,1,586,1,1
"587",-250.64,-3.86321,1.81633,1.08736,0.767572,5.76836,0.808575,0.961202,1,0,0,1,587,1,1
"588",-278.697,-5.5798,1.72631,1.05697,0.909207,5.94735,0.725178,0.999528,1,0,0,1,588,1,1
"589",-213.756,-2.60732,1.84356,1.04411,0.891624,5.79638,0.731141,0.981305,1,0,0,1,589,1,1
"590",-214.781,-2.14497,1.8329,0.972415,0.816892,5.69262,0.769012,0.974902,1,0,0,1,590,1,1
"591",-217.019,-1.65873,1.84898,0.996353,0.732221,5.55865,0.751927,0.97577,1,0,0,1,591,1,1
"592",-229.755,-1.73254,1.7393,0.99362,0.765726,5.68822,0.761368,0.983693,1,0,0,1,592,1,1
"593",-273.572,-9.92121,1.65481,1.01858,0.697606,5.49899,0.789274,1.02241,1,0,0,1,593,1,1
"594",-216.595,-2.72649,1.84003,0.982344,0.81775,5.51067,0.741693,1.01403,1,0,0,1,594,1,1
"595",-214.897,-2.58014,1.76659,1.10502,0.869149,5.5945,0.746282,0.991837,1,0,0,1,595,1,1
"596",-212.911,-1.9345,1.76992,1.02514,0.915619,5.69259,0.762012,0.981173,1,0,0,1,596,1,1
"597",-231.44,-2.04358,1.81769,1.04531,0.837093,5.87871,0.746715,1.01203,1,0,0,1,597,1,1
"598",-213.01,-2.03903,1.8341,1.07014,0.806807,5.6626,0.759695,0.946059,1,0,0,1,598,1,1
"599",-233.318,-0.907345,1.76435,1.0383,0.769402,5.72333,0.776695,0.976935,1,0,0,1,599,1,1
"600",-266.758,-1.87554,1.7901,1.08444,0.731466,5.62365,0.757588,0.950001,1,0,0,1,600,1,1
"601",-212.93,-0.801203,1.81101,0.999434,0.780087,5.67471,0.767085,0.96942,1,0,0,1,601,1,1
"602",-211.991,-1.57322,1.78664,1.06477,0.880524,5.66876,0.754487,0.962728,1,0,0,1,602,1,1
"603",-266.033,-1.8111,1.78567,1.04122,0.733794,5.87226,0.783183,0.977434,1,0,0,1,603,1,1
"604",-214.965,-3.14099,1.74589,0.970608,0.803917,5.4274,0.759486,0.977931,1,0,0,1,604,1,1
"605",-215.772,-1.65198,1.81626,1.03091,0.827864,5.40908,0.774882,0.977378,1,0,0,1,605,1,1
"606",-237.548,-5.757,1.73542,0.997796,0.752746,5.78629,0.80175,1.03496,1,0,0,1,606,1,1
"607",-268.143,-4.49985,1.74136,1.07364,0.688805,5.3499,0.780192,0.967107,1,0,0,1,607,1,1
"608",-267.805,-2.91681,1.84018,1.05464,0.708642,5.83178,0.787418,1.00359,1,0,0,1,608,1,1
"609",-231.692,-3.42427,1.81305,0.962192,0.70508,5.52914,0.729294,0.965151,1,0,0,1,609,1,1
"610",-267.794,-2.58494,1.76363,1.0337,0.806968,5.96612,0.743083,0.962587,1,0,0,1,610,1,1
"611",-230.729,-0.779536,1.75785,1.02721,0.790844,5.72062,0.755562,0.997385,1,0,0,1,611,1,1
"612",-212.518,-1.11252,1.80971,1.03927,0.837804,5.66373,0.758653,0.954158,1,0,0,1,612,1,1
"613",-232.002,-2.76728,1.79129,1.08146,0.804158,5.62602,0.725887,0.942521,1,0,0,1,613,1,1
"614",-213.179,-3.03939,1.8089,1.0845,0.906718,5.84671,0.743688,0.971919,1,0,0,1,614,1,1
"615",-221.348,-4.97752,1.88826,1.00138,0.856777,5.61978,0.764334,0.940202,1,0,0,1,615,1,1
"616",-230.045,-2.97793,1.71837,0.9985,0.777717,5.72815,0.765193,0.964113,1,0,0,1,616,1,1
"617",-213.211,-1.22893,1.85197,1.04119,0.747543,5.53022,0.747217,0.986466,1,0,0,1,617,1,1
"618",-213.89,-2.31746,1.80263,1.07183,0.894903,5.49055,0.733108,0.985924,1,0,0,1,618,1,1
"619",-230.207,-1.23273,1.83569,1.01069,0.783958,5.7862,0.747668,1.00016,1,0,0,1,619,1,1
"620",-267.968,-3.81043,1.78874,1.02603,0.64113,5.62284,0.800091,0.984457,1,0,0,1,620,1,1
"621",-230.437,-2.10062,1.82373,1.02847,0.686942,5.71719,0.736137,0.955557,1,0,0,1,621,1,1
"622",-271.162,-2.08569,1.80035,1.09428,0.702792,5.80143,0.75857,0.990234,1,0,0,1,622,1,1
"623",-217.711,-3.60566,1.84626,1.0207,0.9465,5.70809,0.767018,0.962768,1,0,0,1,623,1,1
"624",-213.945,-2.39957,1.81776,1.08933,0.817982,5.48156,0.784754,0.994265,1,0,0,1,624,1,1
"625",-310.788,-5.45268,1.79218,1.03817,0.766988,6.08779,0.713889,1.01911,1,0,0,1,625,1,1
"626",-267.96,-1.99204,1.77024,1.01624,0.679617,5.82742,0.757185,0.990525,1,0,0,1,626,1,1
"627",-218.254,-6.30343,1.75473,0.981056,0.752232,5.23123,0.801016,0.983445,1,0,0,1,627,1,1
"628",-212.078,-0.879729,1.80165,1.05811,0.86765,5.65011,0.751295,0.984377,1,0,0,1,628,1,1
"629",-235.207,-2.78759,1.85223,1.0337,0.71915,5.91671,0.765755,1.00036,1,0,0,1,629,1,1
"630",-213.723,-3.0314,1.8613,1.00161,0.742208,5.72139,0.793279,0.989412,1,0,0,1,630,1,1
"631",-235.731,-6.50792,1.7489,1.07627,0.768622,5.48332,0.731661,0.911072,1,0,0,1,631,1,1
"632",-215.686,-3.29688,1.83387,1.03781,0.770054,5.2425,0.750442,0.976017,1,0,0,1,632,1,1
"633",-215.111,-2.14717,1.78529,0.970942,0.855452,5.6073,0.740993,0.979571,1,0,0,1,633,1,1
"634",-215.046,-1.98678,1.77943,1.02193,0.835767,5.44098,0.776639,0.960452,1,0,0,1,634,1,1
"635",-231.308,-5.50806,1.76739,1.04016,0.621634,5.29021,0.747572,0.997944,1,0,0,1,635,1,1
"636",-231.269,-3.1815,1.82825,1.00348,0.709714,5.45777,0.719579,0.958426,1,0,0,1,636,1,1
"637",-232.191,-2.77257,1.77898,1.00222,0.756391,5.34284,0.726257,0.993268,1,0,0,1,637,1,1
"638",-220.483,-5.27643,1.77561,1.03737,0.894345,5.32574,0.789436,0.944242,1,0,0,1,638,1,1
"639",-267.269,-2.94499,1.73505,1.03154,0.7624,5.75911,0.797136,0.978458,1,0,0,1,639,1,1
"640",-212.511,-3.22936,1.7785,1.08053,0.940957,5.74688,0.766137,0.974047,1,0,0,1,640,1,1
"641",-233.712,-6.35616,1.74393,0.966961,0.6353,5.58081,0.775411,1.02272,1,0,0,1,641,1,1
"642",-252.416,-5.89945,1.87764,1.12583,0.740106,5.78702,0.780802,1.0119,1,0,0,1,642,1,1
"643",-215.018,-1.38124,1.82174,1.02648,0.838388,5.43073,0.752624,0.994133,1,0,0,1,643,1,1
"644",-231.182,-1.37475,1.79485,0.986272,0.797087,5.65612,0.74848,0.958556,1,0,0,1,644,1,1
"645",-230.54,-2.23159,1.82555,1.01626,0.731682,5.84017,0.788616,0.973604,1,0,0,1,645,1,1
"646",-216.494,-2.65648,1.83642,0.992886,0.778342,5.55061,0.795703,0.97099,1,0,0,1,646,1,1
"647",-214.446,-1.63136,1.79955,1.07797,0.789322,5.59695,0.774483,1.01449,1,0,0,1,647,1,1
"648",-252.623,-6.01133,1.83958,1.16865,0.759703,5.52282,0.765864,0.998838,1,0,0,1,648,1,1
"649",-214.603,-1.82013,1.77546,1.01879,0.846958,5.43847,0.734055,0.996304,1,0,0,1,649,1,1
"650",-328.724,-4.41917,1.74022,1.13523,0.732245,5.759,0.743357,0.987192,1,0,0,1,650,1,1
"651",-229.606,-0.755464,1.80353,1.01655,0.783034,5.8182,0.757172,0.995112,1,0,0,1,651,1,1
"652",-230.648,-0.570545,1.78396,1.02257,0.758767,5.53951,0.761628,1.00063,1,0,0,1,652,1,1
"653",-273.934,-5.31926,1.78209,1.12331,0.839207,5.62208,0.74462,1.04339,1,0,0,1,653,1,1
"654",-215.669,-4.98619,1.74815,1.03505,0.844662,5.19363,0.738029,0.985299,1,0,0,1,654,1,1
"655",-229.79,-1.01347,1.8133,1.02838,0.725465,5.49592,0.735328,0.986933,1,0,0,1,655,1,1
"656",-218.592,-3.98876,1.82573,1.02482,0.861803,5.58145,0.817522,0.983777,1,0,0,1,656,1,1
"657",-230.637,-3.19531,1.81737,0.972582,0.790568,5.90891,0.776072,0.999482,1,0,0,1,657,1,1
"658",-230.162,-0.65593,1.82838,1.05174,0.774852,5.6934,0.744553,0.998316,1,0,0,1,658,1,1
"659",-215.092,-1.04453,1.77759,1.0671,0.800925,5.63012,0.766183,1.00806,1,0,0,1,659,1,1
"660",-213.308,-3.21206,1.80899,0.98197,0.795618,5.87786,0.787245,1.0072,1,0,0,1,660,1,1
"661",-230.551,-0.626531,1.80933,1.03436,0.786657,5.56574,0.732521,0.994943,1,0,0,1,661,1,1
"662",-232.493,-2.48155,1.75606,0.991252,0.835823,5.69681,0.721883,0.99303,1,0,0,1,662,1,1
"663",-213.705,-2.37297,1.8003,1.06064,0.748924,5.50215,0.768307,0.939223,1,0,0,1,663,1,1
"664",-238.395,-7.28513,1.88989,1.06792,0.761362,5.94129,0.714505,1.03115,1,0,0,1,664,1,1
"665",-229.51,-2.58829,1.79837,0.996637,0.664961,5.68522,0.751572,0.954988,1,0,0,1,665,1,1
"666",-233.461,-3.58887,1.84996,1.06405,0.759954,5.73321,0.705109,1.00233,1,0,0,1,666,1,1
"667",-232.477,-3.56694,1.815,1.04384,0.805087,5.8562,0.718014,0.940645,1,0,0,1,667,1,1
"668",-230.728,-1.61217,1.79902,1.01765,0.700316,5.4538,0.772141,0.977156,1,0,0,1,668,1,1
"669",-279.34,-3.4364,1.79679,1.05831,0.686477,6.02591,0.762058,0.984981,1,0,0,1,669,1,1
"670",-327.615,-8.12812,1.85225,1.13713,0.630179,5.83862,0.781116,1.01036,1,0,0,1,670,1,1
"671",-212.319,-1.26845,1.79106,1.03643,0.836987,5.77825,0.774602,1.00306,1,0,0,1,671,1,1
"672",-233.138,-3.21673,1.82497,1.01067,0.907469,5.81207,0.722831,0.973702,1,0,0,1,672,1,1
"673",-230.438,-2.71076,1.76015,0.996846,0.802364,5.7524,0.774694,0.945512,1,0,0,1,673,1,1
"674",-220.318,-3.76258,1.81839,1.003,0.841103,5.26186,0.775122,0.979536,1,0,0,1,674,1,1
"675",-218.726,-7.69617,1.83581,1.09549,0.840368,5.66975,0.735597,0.902883,1,0,0,1,675,1,1
"676",-305.319,-3.78901,1.83669,1.04829,0.674655,5.89524,0.722899,1.00218,1,0,0,1,676,1,1
"677",-230.16,-1.26026,1.79676,1.02885,0.76168,5.7332,0.770025,0.950793,1,0,0,1,677,1,1
"678",-237.705,-3.29886,1.72343,1.00523,0.80272,5.87751,0.748294,1.0023,1,0,0,1,678,1,1
"679",-215.156,-3.11554,1.835,1.0196,0.72849,5.56018,0.791479,0.945606,1,0,0,1,679,1,1
"680",-229.902,-1.44111,1.83895,1.00353,0.721118,5.67373,0.747794,0.967035,1,0,0,1,680,1,1
"681",-212.151,-0.194856,1.81135,1.03602,0.783378,5.59562,0.759143,0.973887,1,0,0,1,681,1,1
"682",-231.221,-3.23215,1.75504,1.04804,0.789353,5.51104,0.746236,0.931065,1,0,0,1,682,1,1
"683",-215.02,-1.66519,1.83976,1.04104,0.858223,5.58177,0.765485,0.961932,1,0,0,1,683,1,1
"684",-215.188,-4.57657,1.86805,1.06447,0.779404,5.79641,0.802465,0.955386,1,0,0,1,684,1,1
"685",-215.089,-4.44981,1.832,1.0674,0.805032,5.33464,0.711786,0.958106,1,0,0,1,685,1,1
"686",-233.247,-4.21763,1.78471,1.02688,0.813448,5.41457,0.701417,0.953719,1,0,0,1,686,1,1
"687",-231.617,-1.42963,1.77089,1.08169,0.78404,5.48541,0.74467,0.994444,1,0,0,1,687,1,1
"688",-267.283,-0.793079,1.78897,1.08412,0.783541,5.65042,0.753891,0.992245,1,0,0,1,688,1,1
"689",-309.09,-3.43655,1.74767,1.06296,0.782484,5.77976,0.704866,0.98522,1,0,0,1,689,1,1
"690",-214.534,-2.91913,1.83055,1.07188,0.749452,5.52572,0.799578,1.00354,1,0,0,1,690,1,1
"691",-217.11,-4.41986,1.83114,0.97514,0.740253,5.31165,0.729215,1.00393,1,0,0,1,691,1,1
"692",-212.373,-0.895188,1.82419,1.05354,0.827128,5.65111,0.768719,0.998842,1,0,0,1,692,1,1
"693",-215.671,-2.88616,1.88276,1.01325,0.815377,5.58017,0.734586,0.97348,1,0,0,1,693,1,1
"694",-232.555,-2.38104,1.83728,1.04182,0.696599,5.68819,0.782228,1.01058,1,0,0,1,694,1,1
"695",-221.683,-4.62867,1.80584,0.951547,0.869722,5.37271,0.770154,0.980557,1,0,0,1,695,1,1
"696",-252.48,-4.66225,1.85091,1.13309,0.769483,5.81813,0.780319,0.985899,1,0,0,1,696,1,1
"697",-217.545,-3.91215,1.76978,1.02806,0.85206,5.24403,0.774877,0.987374,1,0,0,1,697,1,1
"698",-215.567,-2.78759,1.87285,0.996384,0.845336,5.6798,0.740316,0.979261,1,0,0,1,698,1,1
"699",-214.647,-2.60229,1.79464,1.01957,0.762137,5.34952,0.756521,0.948295,1,0,0,1,699,1,1
"700",-212.633,-1.42896,1.76284,0.998688,0.827416,5.63766,0.776115,0.984445,1,0,0,1,700,1,1
"701",-235.834,-1.62214,1.76947,1.03332,0.688362,5.58137,0.75327,1.00905,1,0,0,1,701,1,1
"702",-230.142,-2.21092,1.78138,1.00445,0.656798,5.56783,0.754012,0.995892,1,0,0,1,702,1,1
"703",-212.792,-0.977783,1.8202,1.00425,0.784584,5.69473,0.767532,0.964311,1,0,0,1,703,1,1
"704",-232.383,-3.35293,1.81779,1.09181,0.830644,5.57101,0.707412,0.975208,1,0,0,1,704,1,1
"705",-235.11,-3.07466,1.77058,1.01215,0.720945,5.61553,0.722593,1.02899,1,0,0,1,705,1,1
"706",-233.25,-3.69118,1.85643,1.05424,0.786948,5.91267,0.739969,1.02361,1,0,0,1,706,1,1
"707",-213.606,-3.05682,1.80419,1.11619,0.824431,5.45129,0.745867,1.00277,1,0,0,1,707,1,1
"708",-230.236,-1.9216,1.75184,1.03729,0.744428,5.45309,0.728056,0.984438,1,0,0,1,708,1,1
"709",-306.799,-4.42005,1.75154,1.02317,0.641648,5.78618,0.723252,1.00827,1,0,0,1,709,1,1
"710",-215.874,-2.46866,1.82487,1.04927,0.830482,5.54459,0.727569,1.02363,1,0,0,1,710,1,1
"711",-268.044,-2.85206,1.7886,1.07876,0.727519,5.63577,0.779686,0.940833,1,0,0,1,711,1,1
"712",-218.129,-4.78247,1.89971,1.00674,0.77615,5.67024,0.772881,0.945563,1,0,0,1,712,1,1
"713",-305.323,-1.93658,1.76303,1.04404,0.715023,5.65096,0.71765,0.988803,1,0,0,1,713,1,1
"714",-232.202,-4.8324,1.76986,1.05295,0.902947,5.82885,0.737343,0.929911,1,0,0,1,714,1,1
"715",-231.757,-3.7612,1.78765,1.03422,0.750546,5.26717,0.717084,0.988773,1,0,0,1,715,1,1
"716",-218.013,-4.55277,1.87248,1.01887,0.945706,5.75803,0.77438,0.986458,1,0,0,1,716,1,1
"717",-215.614,-2.0441,1.80789,0.974128,0.781361,5.63474,0.757296,0.953308,1,0,0,1,717,1,1
"718",-367.009,-6.56297,1.81774,1.06868,0.606982,5.88866,0.740298,1.02784,1,0,0,1,718,1,1
"719",-215.019,-2.09032,1.83536,1.05217,0.824091,5.52043,0.763104,0.947524,1,0,0,1,719,1,1
"720",-233.544,-3.82713,1.78189,1.08484,0.840174,5.67157,0.714166,0.943917,1,0,0,1,720,1,1
"721",-303.643,-3.1866,1.76978,1.00406,0.685595,5.82038,0.724115,0.960174,1,0,0,1,721,1,1
"722",-212.98,-1.28377,1.74418,1.03857,0.823018,5.55946,0.7624,0.990246,1,0,0,1,722,1,1
"723",-266.644,-1.64169,1.78833,1.078,0.790803,5.81548,0.775674,0.968868,1,0,0,1,723,1,1
"724",-252.044,-6.09439,1.83977,1.07892,0.711001,5.84563,0.825926,0.985606,1,0,0,1,724,1,1
"725",-270.527,-3.35294,1.79329,1.11832,0.845531,5.68973,0.73887,1.01441,1,0,0,1,725,1,1
"726",-230.22,-2.09015,1.8285,0.98912,0.740553,5.73327,0.736896,0.957037,1,0,0,1,726,1,1
"727",-231.92,-1.52142,1.77636,1.04705,0.855751,5.73187,0.74972,1.0131,1,0,0,1,727,1,1
"728",-216.685,-4.18338,1.77874,0.998496,0.770414,5.2408,0.760438,0.953433,1,0,0,1,728,1,1
"729",-216.855,-5.62523,1.81133,0.978231,0.688378,5.4126,0.80722,1.01174,1,0,0,1,729,1,1
"730",-216.479,-2.9978,1.82446,0.97881,0.895029,5.72095,0.776564,0.977009,1,0,0,1,730,1,1
"731",-267.467,-2.78067,1.77446,1.09626,0.780259,5.74694,0.759787,0.943648,1,0,0,1,731,1,1
"732",-214.878,-1.83125,1.79087,1.04293,0.865475,5.40676,0.760438,0.970066,1,0,0,1,732,1,1
"733",-234.436,-5.19401,1.86508,0.94543,0.688722,5.5935,0.758645,0.969287,1,0,0,1,733,1,1
"734",-267.773,-1.43211,1.79343,1.08774,0.746472,5.69223,0.731078,0.990174,1,0,0,1,734,1,1
"735",-267.29,-3.76001,1.77123,1.02395,0.691652,5.97856,0.787484,0.990863,1,0,0,1,735,1,1
"736",-212.939,-1.52733,1.77113,1.07952,0.778956,5.44435,0.762621,0.987603,1,0,0,1,736,1,1
"737",-266.636,-1.83852,1.84052,1.07619,0.702074,5.65901,0.73921,0.984765,1,0,0,1,737,1,1
"738",-267.929,-3.43954,1.73303,0.996556,0.74054,5.89116,0.773504,0.999353,1,0,0,1,738,1,1
"739",-235.185,-5.08559,1.84606,1.02699,0.73635,5.85096,0.767109,1.05161,1,0,0,1,739,1,1
"740",-229.863,-2.07938,1.80421,1.04484,0.697204,5.42261,0.730522,0.994319,1,0,0,1,740,1,1
"741",-266.457,-2.36438,1.76449,1.02439,0.79474,5.91148,0.785146,0.979103,1,0,0,1,741,1,1
"742",-215.508,-2.96517,1.85356,1.04342,0.755518,5.37734,0.756259,0.953108,1,0,0,1,742,1,1
"743",-315.432,-3.99584,1.78972,1.09862,0.700419,5.77876,0.711285,0.964747,1,0,0,1,743,1,1
"744",-217.495,-4.1965,1.88976,0.980524,0.736057,5.47692,0.764299,0.982583,1,0,0,1,744,1,1
