"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"55",-232.54,-5.12327,1.85287,0.962106,0.822014,5.95099,0.741592,1.01044,1,0,0,1,55,1,1
"56",-216.476,-5.60283,1.78718,1.12431,0.956733,5.78571,0.746153,1.00617,1,0,0,1,56,1,1
"57",-268.585,-3.67416,1.71505,1.06198,0.774891,5.53717,0.726072,0.959983,1,0,0,1,57,1,1
"58",-232.226,-4.48996,1.761,0.990229,0.686821,5.59722,0.811471,0.986457,1,0,0,1,58,1,1
"59",-214.092,-2.00994,1.86591,1.04033,0.857106,5.67708,0.757263,0.978565,1,0,0,1,59,1,1
"60",-212.54,-1.40724,1.81378,1.08172,0.852313,5.56171,0.756714,0.993712,1,0,0,1,60,1,1
"61",-231.965,-1.33881,1.83451,1.0641,0.712122,5.6232,0.770772,0.987227,1,0,0,1,61,1,1
"62",-229.955,-2.35556,1.82056,1.01929,0.645587,5.57735,0.757528,0.992636,1,0,0,1,62,1,1
"63",-233.177,-4.8877,1.78016,0.948884,0.733214,5.44862,0.714001,0.977162,1,0,0,1,63,1,1
"64",-233.402,-4.73933,1.77894,1.01097,0.835319,5.82892,0.716107,0.930546,1,0,0,1,64,1,1
"65",-230.935,-1.60144,1.7521,1.02298,0.824619,5.50656,0.733306,0.976355,1,0,0,1,65,1,1
"66",-213.917,-2.92177,1.79061,1.09901,0.789477,5.39556,0.779764,0.997189,1,0,0,1,66,1,1
"67",-213.592,-3.22872,1.74531,1.04303,0.94981,5.64581,0.757714,0.987225,1,0,0,1,67,1,1
"68",-217.088,-2.52835,1.86063,1.00381,0.830935,5.55384,0.778387,0.998391,1,0,0,1,68,1,1
"69",-215.75,-2.94616,1.77873,1.04305,0.821095,5.39281,0.799322,0.981707,1,0,0,1,69,1,1
"70",-306.536,-2.71308,1.77935,1.09152,0.736502,5.69524,0.713344,0.976713,1,0,0,1,70,1,1
"71",-218.214,-3.2809,1.81057,1.04953,0.928541,5.45541,0.769675,0.957651,1,0,0,1,71,1,1
"72",-213.088,-1.47504,1.81092,1.04925,0.792215,5.74397,0.785788,1.00583,1,0,0,1,72,1,1
"73",-325.787,-3.74355,1.76928,1.11637,0.682927,5.64978,0.777396,0.967804,1,0,0,1,73,1,1
"74",-237.419,-6.28324,1.86617,0.97378,0.827533,5.72448,0.720189,0.930933,1,0,0,1,74,1,1
"75",-214.197,-2.27729,1.849,1.04947,0.714585,5.46931,0.752774,0.95824,1,0,0,1,75,1,1
"76",-230.268,-1.67164,1.86793,1.04636,0.745798,5.69351,0.752723,0.978824,1,0,0,1,76,1,1
"77",-233.275,-3.97749,1.71594,0.984474,0.761297,5.62236,0.757985,1.01958,1,0,0,1,77,1,1
"78",-231.827,-5.87822,1.71072,0.972739,0.649987,5.50437,0.75692,0.985541,1,0,0,1,78,1,1
"79",-233.28,-3.7808,1.71627,1.00722,0.843824,5.61286,0.71959,0.984372,1,0,0,1,79,1,1
"80",-213.65,-2.09673,1.79766,1.0684,0.848393,5.48521,0.760552,0.950802,1,0,0,1,80,1,1
"81",-230.375,-2.99143,1.83332,1.00181,0.692781,5.57138,0.724409,0.955059,1,0,0,1,81,1,1
"82",-231.297,-3.00613,1.80488,0.996103,0.66718,5.4338,0.773034,0.971015,1,0,0,1,82,1,1
"83",-249.802,-3.3356,1.80854,1.12284,0.845263,5.77383,0.77558,0.987073,1,0,0,1,83,1,1
"84",-230.894,-3.40996,1.87301,1.0525,0.747665,5.63346,0.711595,0.984899,1,0,0,1,84,1,1
"85",-268.415,-2.70637,1.76079,1.06329,0.829955,5.95598,0.7551,1.00033,1,0,0,1,85,1,1
"86",-267.888,-2.66642,1.80778,1.12881,0.784124,5.60634,0.748278,0.974171,1,0,0,1,86,1,1
"87",-217.385,-3.73776,1.84667,1.0584,0.794968,5.50636,0.80088,0.951598,1,0,0,1,87,1,1
"88",-303.898,-2.86256,1.81825,1.01338,0.677535,5.91872,0.737309,0.988674,1,0,0,1,88,1,1
"89",-213.857,-2.20553,1.78038,1.04638,0.837191,5.54625,0.740744,0.941309,1,0,0,1,89,1,1
"90",-231.752,-2.82146,1.79892,1.08533,0.774938,5.53831,0.736839,0.938646,1,0,0,1,90,1,1
"91",-212.934,-2.22476,1.75324,0.987058,0.851784,5.74323,0.768623,0.98605,1,0,0,1,91,1,1
"92",-230.99,-3.58975,1.82647,0.972882,0.81193,5.91231,0.741576,0.956525,1,0,0,1,92,1,1
"93",-234.32,-3.4065,1.826,0.987339,0.741285,5.4886,0.740315,1.03217,1,0,0,1,93,1,1
"94",-267.054,-2.28501,1.85136,1.07473,0.769605,5.84377,0.754097,0.96537,1,0,0,1,94,1,1
"95",-222.203,-6.25681,1.83334,1.04677,0.882195,5.27828,0.790458,1.02928,1,0,0,1,95,1,1
"96",-216.233,-3.56225,1.79949,1.01793,0.81574,5.23141,0.734716,0.979456,1,0,0,1,96,1,1
"97",-213.879,-1.77417,1.80995,1.02286,0.910325,5.68949,0.739964,0.979445,1,0,0,1,97,1,1
"98",-268.802,-2.04454,1.7994,1.01054,0.72247,5.80461,0.720252,0.996633,1,0,0,1,98,1,1
"99",-230.444,-0.905736,1.77862,1.0417,0.840949,5.77548,0.756911,0.995836,1,0,0,1,99,1,1
"100",-231.097,-1.10025,1.81939,0.982781,0.771852,5.67221,0.757122,0.980855,1,0,0,1,100,1,1
"101",-214.965,-2.55516,1.83116,1.04675,0.733214,5.36378,0.736212,1.00625,1,0,0,1,101,1,1
"102",-219.185,-4.96685,1.83667,1.07377,0.941544,5.34137,0.742993,0.965944,1,0,0,1,102,1,1
"103",-213.38,-4.24951,1.87455,1.01894,0.754875,5.90268,0.786719,1.00734,1,0,0,1,103,1,1
"104",-214.847,-1.45056,1.79036,0.994177,0.841115,5.4913,0.749029,0.996145,1,0,0,1,104,1,1
"105",-229.323,-1.27275,1.8173,1.0022,0.748556,5.80904,0.768461,0.973816,1,0,0,1,105,1,1
"106",-267.218,-3.35663,1.78527,1.0824,0.65583,5.5827,0.770067,0.953445,1,0,0,1,106,1,1
"107",-230.83,-1.76085,1.74569,0.994568,0.77999,5.69349,0.759113,1.00382,1,0,0,1,107,1,1
"108",-233.647,-1.15095,1.79714,1.05281,0.804424,5.8529,0.7541,0.966003,1,0,0,1,108,1,1
"109",-231.701,-3.18834,1.74547,0.969851,0.769964,5.78349,0.755455,1.01091,1,0,0,1,109,1,1
"110",-214.078,-4.26422,1.86945,1.05552,0.796773,5.82286,0.80052,1.00573,1,0,0,1,110,1,1
"111",-218.522,-6.34647,1.92045,1.00971,0.874818,5.71935,0.725953,0.967855,1,0,0,1,111,1,1
"112",-214.691,-1.22835,1.82776,0.995862,0.79782,5.68124,0.750358,1.00548,1,0,0,1,112,1,1
"113",-231.359,-3.75721,1.83448,0.99408,0.669547,5.58329,0.748715,0.941712,1,0,0,1,113,1,1
"114",-218.226,-6.06124,1.90768,1.00186,0.69265,5.45117,0.757039,0.952123,1,0,0,1,114,1,1
"115",-212.299,-1.31884,1.79821,1.06269,0.785515,5.43161,0.751223,0.963417,1,0,0,1,115,1,1
"116",-271.997,-4.39976,1.81146,1.04359,0.813078,6.01942,0.737489,1.03186,1,0,0,1,116,1,1
"117",-251.785,-5.57706,1.79217,1.03517,0.745065,5.80304,0.832376,0.958618,1,0,0,1,117,1,1
"118",-230.969,-4.50387,1.72166,0.998281,0.789343,5.77274,0.790747,0.950865,1,0,0,1,118,1,1
