# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-18 12:48:09 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpsTGGY7/standata-61f85a1a2f1c.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpsTGGY7/init-1-61f842df684d.json
# random
#   seed = 603951583
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_barre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-286.219,-3.49763,1.88282,0.862251,0.475745,3.53215,0.711369,1.51279,1,0,0
0,-284.658,-3.28326,1.90054,0.926299,0.34511,3.39616,0.686257,1.48872,1,0,0
0,-285.38,-2.22297,1.88736,0.927633,0.516605,3.41522,0.639044,1.51957,1,0,0
0,-285.589,-2.47101,1.88108,0.9032,0.369672,3.69466,0.68048,1.4958,1,0,0
0,-285.131,-3.21174,1.83682,0.930728,0.415165,3.46348,0.736315,1.45657,1,0,0
0,-283.413,-2.61863,1.85383,0.973606,0.44434,3.36498,0.680494,1.45857,1,0,0
0,-297.493,-5.79677,1.82524,0.987454,0.337015,3.58183,0.607241,1.48476,1,0,0
0,-292.105,-2.89222,1.82667,0.94574,0.355108,3.67233,0.697625,1.48483,1,0,0
0,-285.122,-2.93362,1.86274,0.866463,0.432628,3.53811,0.680367,1.48563,1,0,0
0,-288.061,-2.67065,1.80464,0.932641,0.469944,3.50178,0.648403,1.5092,1,0,0
0,-284.97,-0.729555,1.87115,0.929638,0.446252,3.56633,0.701436,1.52979,1,0,0
0,-292.992,-5.51745,1.87069,1.01314,0.297789,3.48957,0.663139,1.50471,1,0,0
0,-285.351,-0.686673,1.87671,0.987352,0.418232,3.57646,0.681607,1.49653,1,0,0
0,-288.194,-3.79429,1.82772,0.918041,0.332712,3.45297,0.691572,1.5129,1,0,0
0,-290.536,-6.69349,1.86861,0.844543,0.385646,3.52687,0.69023,1.5568,1,0,0
0,-285.204,-2.96233,1.93076,0.92102,0.48658,3.42463,0.662364,1.52003,1,0,0
0,-291.198,-3.54633,1.81249,0.940893,0.435968,3.45761,0.648454,1.54885,1,0,0
0,-285.209,-1.43945,1.8818,0.994757,0.517984,3.59969,0.659204,1.51438,1,0,0
0,-282.39,-1.3413,1.90198,0.980098,0.493678,3.54121,0.711712,1.48641,1,0,0
0,-283.304,-0.865006,1.88671,0.980573,0.474125,3.5519,0.654572,1.48796,1,0,0
0,-283.608,-1.89028,1.8816,0.922287,0.412975,3.48824,0.681139,1.45556,1,0,0
0,-288.331,-3.58727,1.82538,0.988809,0.427791,3.35534,0.688097,1.53654,1,0,0
0,-290.607,-3.16386,1.82046,0.911112,0.364415,3.65935,0.686204,1.50934,1,0,0
0,-284.155,-1.83758,1.89876,0.90119,0.526318,3.57859,0.667601,1.50924,1,0,0
0,-284.281,-1.05759,1.84322,0.938687,0.514108,3.57566,0.656236,1.48651,1,0,0
0,-283.786,-2.59186,1.92797,0.945579,0.484247,3.65581,0.712067,1.52762,1,0,0
0,-285.529,-2.71704,1.89908,0.98097,0.455108,3.62741,0.622841,1.47291,1,0,0
0,-296.933,-4.01961,1.88439,0.950852,0.403955,3.82743,0.640373,1.53599,1,0,0
0,-283.131,-2.64794,1.84105,0.947498,0.573726,3.64134,0.718038,1.47257,1,0,0
0,-290.723,-3.18533,1.8888,1.00448,0.348445,3.62113,0.682119,1.47715,1,0,0
0,-293.02,-4.64673,1.84803,0.974972,0.501536,3.65206,0.726192,1.57827,1,0,0
0,-288.829,-4.46063,1.88216,0.928132,0.609654,3.73677,0.642567,1.53934,1,0,0
0,-286.261,-2.23358,1.84228,0.94692,0.543819,3.66884,0.713244,1.53112,1,0,0
0,-283.841,-0.925909,1.85524,0.915708,0.476627,3.51301,0.710509,1.49511,1,0,0
0,-285.789,-2.70266,1.89216,0.937886,0.361085,3.44463,0.656091,1.53409,1,0,0
0,-290.582,-2.75829,1.83628,0.920485,0.360772,3.70698,0.68205,1.49914,1,0,0
0,-283.928,-0.538108,1.86032,0.919611,0.492694,3.53951,0.679639,1.50797,1,0,0
0,-284.262,-1.45083,1.88108,0.967342,0.500131,3.70993,0.713348,1.50459,1,0,0
0,-285.132,-4.17204,1.87053,0.86661,0.444037,3.58443,0.700025,1.45293,1,0,0
0,-289.249,-2.77091,1.8775,0.924745,0.3475,3.71709,0.675254,1.51197,1,0,0
0,-287.066,-5.95096,1.85735,0.96242,0.361851,3.21281,0.682551,1.52721,1,0,0
0,-286.711,-0.81387,1.86431,0.963327,0.470623,3.69939,0.670839,1.50451,1,0,0
0,-285.743,-1.34915,1.82866,0.915035,0.43627,3.60156,0.683201,1.49775,1,0,0
0,-284.413,-1.53619,1.8421,0.954128,0.574379,3.52507,0.683658,1.50615,1,0,0
0,-286.454,-2.85429,1.86321,0.939128,0.572148,3.36056,0.692074,1.52595,1,0,0
0,-285.309,-3.68665,1.90451,0.937355,0.517819,3.81248,0.705432,1.53173,1,0,0
0,-285.103,-2.48657,1.83922,0.946585,0.582872,3.5468,0.647079,1.47801,1,0,0
0,-289.534,-5.63098,1.90479,0.982947,0.608781,3.4984,0.610114,1.53852,1,0,0
0,-284.456,-4.68669,1.91329,0.934344,0.606454,3.64599,0.679116,1.44593,1,0,0
0,-293.647,-2.76694,1.85927,0.952879,0.426326,3.79992,0.705566,1.53364,1,0,0
0,-284.022,-0.752719,1.90138,0.968571,0.453991,3.60498,0.680184,1.51484,1,0,0
0,-297.317,-5.6935,1.79233,0.946111,0.349681,3.61768,0.740906,1.51265,1,0,0
0,-285.413,-1.58773,1.82146,0.946062,0.507545,3.4952,0.663247,1.4979,1,0,0
0,-287.507,-4.02868,1.9229,0.890222,0.50078,3.40267,0.703501,1.47921,1,0,0
0,-286.142,-0.61953,1.85507,0.943529,0.43277,3.60475,0.652952,1.51071,1,0,0
0,-284.97,-3.73766,1.93052,0.958176,0.516666,3.35216,0.660004,1.51588,1,0,0
0,-288.663,-2.21004,1.83842,0.964375,0.350386,3.51985,0.702739,1.50279,1,0,0
0,-285.17,-4.85139,1.8989,0.957505,0.426524,3.23061,0.650964,1.51674,1,0,0
0,-297.483,-7.42522,1.79458,1.04352,0.46282,3.43685,0.630305,1.52967,1,0,0
0,-285.669,-1.77305,1.87275,0.904732,0.399237,3.6623,0.658121,1.50954,1,0,0
0,-283.03,-2.07582,1.90619,0.998029,0.528474,3.48881,0.680414,1.51437,1,0,0
0,-287.342,-9.17215,1.96351,0.897928,0.388335,3.51271,0.5894,1.51845,1,0,0
0,-297.031,-2.23437,1.83534,0.996306,0.436467,3.68785,0.65652,1.51615,1,0,0
0,-287.239,-3.71996,1.82316,0.926152,0.478086,3.66162,0.7618,1.51154,1,0,0
0,-287.275,-3.568,1.83402,0.98006,0.571193,3.64451,0.641359,1.46605,1,0,0
0,-285.409,-4.3014,1.94115,0.923293,0.503724,3.72237,0.650749,1.52612,1,0,0
0,-284.599,-2.17703,1.91799,0.910171,0.485865,3.52833,0.693098,1.52875,1,0,0
0,-285.733,-4.20478,1.95083,0.925537,0.410137,3.56638,0.694098,1.5405,1,0,0
0,-286.739,-6.25448,1.92567,0.968701,0.512063,3.5077,0.692341,1.41464,1,0,0
0,-294.586,-5.26057,1.84332,0.940462,0.487817,3.84954,0.726725,1.55429,1,0,0
0,-282.632,-1.1737,1.88882,0.957788,0.48234,3.45686,0.672898,1.46966,1,0,0
0,-285.625,-5.55114,1.91112,1.00632,0.338869,3.41267,0.628557,1.49799,1,0,0
0,-283.994,-0.296931,1.88212,0.961401,0.422144,3.58184,0.690434,1.49909,1,0,0
0,-283.865,-2.38831,1.92013,0.912804,0.542381,3.57575,0.693216,1.51079,1,0,0
0,-284.241,-1.89071,1.88812,0.908667,0.461748,3.42496,0.65703,1.47882,1,0,0
0,-302.727,-6.60773,1.78533,0.934901,0.337008,3.64536,0.709649,1.53627,1,0,0
0,-285.756,-4.37362,1.84233,0.888163,0.33873,3.48874,0.666854,1.47315,1,0,0
0,-285.754,-1.42299,1.8933,0.997294,0.468349,3.66455,0.688174,1.50427,1,0,0
0,-284.355,-0.966475,1.86581,0.936917,0.41155,3.61134,0.656782,1.4771,1,0,0
0,-295.2,-6.20695,1.86051,1.07626,0.410984,3.5054,0.634357,1.49669,1,0,0
0,-286.054,-2.3906,1.85909,0.962529,0.558744,3.58448,0.712107,1.54623,1,0,0
0,-284.273,-1.02102,1.86757,0.954892,0.505583,3.48697,0.711508,1.52616,1,0,0
0,-284.76,-6.99053,1.9058,0.874668,0.42851,3.79675,0.735403,1.45197,1,0,0
0,-285.198,-2.46467,1.82706,0.989756,0.455193,3.50318,0.711945,1.4661,1,0,0
0,-293.518,-5.23,1.81744,0.948334,0.48137,3.84749,0.697754,1.45556,1,0,0
0,-283.377,-1.18755,1.87394,0.958036,0.498019,3.54159,0.64085,1.47674,1,0,0
0,-284.343,-1.51975,1.87991,0.940236,0.454972,3.54391,0.745658,1.51549,1,0,0
0,-301.931,-4.24605,1.82521,0.989994,0.394601,3.72838,0.655902,1.4566,1,0,0
0,-285.504,-1.1804,1.87956,0.963471,0.425186,3.49947,0.649444,1.53064,1,0,0
0,-287.492,-3.07382,1.8361,0.912477,0.355727,3.54336,0.639625,1.50517,1,0,0
0,-285.219,-1.21441,1.85051,0.932246,0.391172,3.54085,0.716806,1.49804,1,0,0
0,-288.855,-1.86376,1.82937,0.926163,0.388326,3.64461,0.666839,1.50224,1,0,0
0,-284.17,-1.63735,1.87742,0.918354,0.429003,3.48796,0.631141,1.5017,1,0,0
0,-284.655,-4.04849,1.85786,0.995785,0.621191,3.46774,0.650929,1.46829,1,0,0
0,-286.14,-5.19427,1.85733,0.881547,0.399523,3.37895,0.615924,1.4858,1,0,0
0,-283.663,-2.33892,1.90093,0.919862,0.453618,3.55682,0.680885,1.44869,1,0,0
0,-284.758,-0.987744,1.87486,0.929793,0.395831,3.59327,0.651883,1.50004,1,0,0
0,-284.642,-1.34887,1.87205,0.974525,0.521052,3.4819,0.651236,1.52161,1,0,0
0,-285.883,-4.85726,1.91796,0.989761,0.516671,3.81647,0.731722,1.50582,1,0,0
0,-286.644,-2.21828,1.8695,0.912211,0.512305,3.68711,0.646311,1.52715,1,0,0
0,-283.721,-1.869,1.91427,0.962151,0.493059,3.44111,0.696787,1.52422,1,0,0
0,-295.224,-4.71345,1.8034,1.01343,0.533248,3.69219,0.705875,1.50256,1,0,0
0,-285.261,-5.05785,1.85178,0.951664,0.413419,3.35443,0.676435,1.42586,1,0,0
0,-285.88,-1.98825,1.88832,0.96497,0.399412,3.65167,0.64781,1.46789,1,0,0
0,-283.979,-5.15853,1.89962,1.00111,0.470978,3.23898,0.658681,1.50454,1,0,0
0,-286.935,-2.16197,1.8404,0.934163,0.521436,3.58661,0.62533,1.50241,1,0,0
0,-284.673,-0.941104,1.87579,0.913158,0.415443,3.60759,0.689465,1.51652,1,0,0
0,-287.748,-1.49164,1.87427,0.993158,0.478042,3.67251,0.695004,1.52514,1,0,0
0,-283.601,-4.54662,1.94416,1.01915,0.497771,3.52785,0.67528,1.4765,1,0,0
0,-290.172,-5.65038,1.84917,0.901808,0.372551,3.78929,0.634397,1.45679,1,0,0
0,-284.611,-2.48151,1.85875,0.876809,0.420902,3.5625,0.669231,1.48365,1,0,0
0,-286.201,-2.43958,1.88393,0.949113,0.445044,3.79482,0.695279,1.47205,1,0,0
0,-304.21,-5.64575,1.84716,0.956465,0.291558,3.73583,0.673736,1.50825,1,0,0
0,-285.466,-3.08862,1.87835,0.89465,0.387491,3.50837,0.743747,1.4982,1,0,0
0,-286.016,-1.76627,1.89942,0.926569,0.401845,3.64959,0.674216,1.5322,1,0,0
0,-284.434,-1.12985,1.84421,0.937411,0.43116,3.41244,0.680204,1.50079,1,0,0
0,-302.39,-8.51223,1.82738,0.983941,0.293879,3.46694,0.684603,1.57562,1,0,0
0,-287.326,-4.90421,1.83014,0.957037,0.574616,3.47651,0.610427,1.46463,1,0,0
0,-284.598,-0.342268,1.86736,0.973206,0.45131,3.60058,0.69763,1.50127,1,0,0
0,-289.552,-3.952,1.85783,0.953683,0.623386,3.61457,0.656276,1.55337,1,0,0
0,-291.266,-5.495,1.84623,0.908502,0.469482,3.64254,0.752099,1.57404,1,0,0
0,-284.282,-2.83866,1.87023,0.976882,0.473512,3.46794,0.760036,1.47626,1,0,0
0,-287.241,-2.12187,1.88061,0.931129,0.413544,3.6393,0.719987,1.54504,1,0,0
