# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-19 13:02:36 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpGU2eYh/standata-8cfc40ff781b.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpGU2eYh/init-1-8cfc684fd5e.json
# random
#   seed = 957596559
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-463.82,-6.42102,1.43085,0.974148,0.279293,2.90868,1.40958,1.28682,1,0,0
0,-462.765,-3.32882,1.48757,1.01333,0.291289,2.49376,1.61231,1.32049,1,0,0
0,-460.446,-1.61915,1.44318,0.940364,0.276803,2.63089,1.47235,1.35806,1,0,0
0,-465.126,-3.94216,1.48897,0.945565,0.387033,2.63588,1.42707,1.32506,1,0,0
0,-464.528,-1.34663,1.51774,0.967946,0.293389,2.55578,1.41778,1.34878,1,0,0
0,-460.251,-3.7018,1.46228,1.04209,0.293881,2.61783,1.63511,1.30941,1,0,0
0,-458.897,-4.399,1.4774,1.06351,0.306353,2.84286,1.36761,1.35347,1,0,0
0,-467.672,-4.86302,1.52862,0.97469,0.313185,2.40194,1.49869,1.36966,1,0,0
0,-458.719,-1.27436,1.49624,0.988603,0.303296,2.79848,1.49298,1.32382,1,0,0
0,-460.666,-4.56264,1.53487,0.994146,0.280197,2.87796,1.35077,1.36851,1,0,0
0,-458.67,-1.11133,1.48293,1.02074,0.315485,2.61083,1.52751,1.34401,1,0,0
0,-460.251,-1.35444,1.48462,0.981404,0.30357,2.56275,1.43834,1.37539,1,0,0
0,-458.068,-1.98672,1.45951,1.02837,0.334637,2.64532,1.51029,1.33902,1,0,0
0,-460.021,-2.41737,1.46545,0.950896,0.267396,2.66959,1.44137,1.40586,1,0,0
0,-461.789,-8.64211,1.43821,1.04992,0.308009,2.57913,1.53301,1.4578,1,0,0
0,-468.488,-2.23788,1.53712,0.945611,0.30351,2.65905,1.49667,1.30284,1,0,0
0,-462.293,-0.817676,1.48698,0.96827,0.249804,2.57666,1.4703,1.33613,1,0,0
0,-468.531,-2.31434,1.51675,0.96011,0.283883,2.52428,1.39293,1.32299,1,0,0
0,-458.247,-2.36789,1.47836,0.941113,0.33752,2.7512,1.50074,1.37534,1,0,0
0,-469.506,-2.86172,1.55297,0.936848,0.279904,2.53768,1.52182,1.34109,1,0,0
0,-457.389,-6.63898,1.48117,1.03276,0.207911,2.70957,1.67888,1.38738,1,0,0
0,-466.677,-2.70603,1.49809,0.936875,0.223835,2.64714,1.49227,1.30392,1,0,0
0,-470.128,-3.75085,1.54574,0.998844,0.322784,2.60543,1.52214,1.28738,1,0,0
0,-457.93,-0.49136,1.47736,1.01333,0.281505,2.66503,1.43746,1.34808,1,0,0
0,-461.883,-3.25634,1.45004,0.965168,0.240534,2.81309,1.38609,1.35049,1,0,0
0,-468.013,-1.71069,1.53812,0.949908,0.272636,2.56573,1.46283,1.33005,1,0,0
0,-471.7,-3.14332,1.50247,0.902048,0.286128,2.55591,1.49351,1.3046,1,0,0
0,-460.468,-5.75696,1.39598,1.03111,0.254162,2.7088,1.57785,1.36508,1,0,0
0,-457.416,-2.26703,1.45422,1.03434,0.256782,2.74082,1.51782,1.37909,1,0,0
