# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-21 12:14:55 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/Rtmp4KhtgB/standata-8db446b11312.json
# init = C:/Users/alescia/AppData/Local/Temp/Rtmp4KhtgB/init-1-8db42b183948.json
# random
#   seed = 838267205
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_gen_exp2_2-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-5192.11,-3.8557,1.27584,0.884201,0.965641,5.36058,0.857885,1.44457,1,0,0
0,-5205.12,-3.09872,1.29801,0.883998,0.957289,5.66266,0.846905,1.47705,1,0,0
0,-5192,-2.15369,1.28024,0.870919,0.935723,5.36341,0.854154,1.44978,1,0,0
0,-5190.29,-1.49491,1.30357,0.886677,0.951391,5.42132,0.854103,1.46019,1,0,0
0,-5195.73,-1.64515,1.28309,0.859867,0.955627,5.54366,0.85547,1.47182,1,0,0
0,-5198.19,-1.76693,1.28196,0.883672,1.00567,5.52353,0.845755,1.4626,1,0,0
0,-5187.93,-1.5798,1.30595,0.855468,0.95969,5.42072,0.85076,1.45993,1,0,0
0,-5192.72,-2.30392,1.30145,0.866992,0.991791,5.51552,0.841753,1.46358,1,0,0
0,-5197.27,-2.97752,1.29562,0.890426,1.02761,5.53733,0.847859,1.47489,1,0,0
0,-5190.56,-2.75309,1.29818,0.889396,0.93025,5.31515,0.85525,1.46073,1,0,0
0,-5199.36,-4.81203,1.27237,0.871405,0.916529,5.44278,0.846112,1.43892,1,0,0
0,-5192.52,-2.09232,1.29635,0.880229,1.02755,5.54243,0.848447,1.46097,1,0,0
0,-5187.47,-2.58888,1.3118,0.85715,0.976559,5.39889,0.848438,1.45546,1,0,0
0,-5199.87,-4.87759,1.28075,0.861343,0.989627,5.56602,0.837356,1.45537,1,0,0
0,-5196.45,-5.78527,1.28763,0.907987,0.994688,5.51673,0.854833,1.43733,1,0,0
0,-5201.36,-2.59944,1.27285,0.887468,0.965963,5.3706,0.847277,1.47512,1,0,0
0,-5205.46,-2.10967,1.29081,0.880953,0.927946,5.58677,0.846537,1.4734,1,0,0
0,-5189.15,-1.64647,1.2975,0.8533,0.954756,5.39772,0.845582,1.45942,1,0,0
0,-5197.45,-2.3542,1.28521,0.892764,0.926804,5.35278,0.846974,1.46464,1,0,0
0,-5189.87,-2.32984,1.2949,0.877671,0.951504,5.34364,0.859271,1.4674,1,0,0
0,-5193.62,-2.17186,1.29835,0.852504,0.948668,5.5771,0.846091,1.46301,1,0,0
0,-5194.59,-0.85433,1.29153,0.871881,0.96581,5.48451,0.843831,1.46446,1,0,0
0,-5191,-0.663047,1.2942,0.878515,0.950972,5.4152,0.84882,1.45404,1,0,0
0,-5189.96,-1.19462,1.28998,0.879841,0.981401,5.36264,0.855904,1.46621,1,0,0
0,-5189.33,-4.23712,1.31226,0.863481,1.02496,5.61008,0.851429,1.46709,1,0,0
0,-5191.31,-0.957667,1.29281,0.868868,1.01022,5.47242,0.848362,1.46927,1,0,0
0,-5199.05,-2.37614,1.28585,0.887099,0.936745,5.36502,0.848937,1.48202,1,0,0
0,-5192.06,-1.70032,1.28864,0.8952,0.971696,5.37518,0.853619,1.45801,1,0,0
0,-5191.22,-0.781715,1.2972,0.869962,0.989179,5.53632,0.848102,1.46034,1,0,0
0,-5189.01,-3.94871,1.31788,0.887564,0.977865,5.4291,0.856104,1.45902,1,0,0
0,-5196.22,-2.11191,1.27502,0.887194,0.950883,5.41963,0.853373,1.45332,1,0,0
0,-5193.32,-3.64509,1.27996,0.866029,0.95912,5.2525,0.857071,1.47451,1,0,0
0,-5193.24,-4.12425,1.29286,0.887197,1.0567,5.51516,0.854375,1.47068,1,0,0
0,-5198.74,-1.50107,1.28373,0.860733,0.939521,5.56522,0.847183,1.46422,1,0,0
0,-5195.21,-4.03853,1.30048,0.871249,0.904181,5.52845,0.857026,1.44762,1,0,0
0,-5196.37,-0.666662,1.28038,0.880079,0.958696,5.47485,0.852339,1.46548,1,0,0
0,-5193.91,-0.638423,1.28239,0.865852,0.94535,5.43356,0.852025,1.46567,1,0,0
0,-5188.99,-2.23353,1.30289,0.890464,0.995362,5.37031,0.854698,1.46204,1,0,0
0,-5189.04,-1.71459,1.29236,0.876464,1.01605,5.33643,0.85116,1.45906,1,0,0
0,-5189.24,-1.0022,1.29557,0.875328,0.954291,5.33093,0.852983,1.46525,1,0,0
0,-5187.13,-2.52231,1.30408,0.852645,0.984666,5.37969,0.853899,1.45258,1,0,0
0,-5188.86,-2.50965,1.29883,0.855092,0.992167,5.34041,0.85512,1.47449,1,0,0
0,-5193.43,-0.527659,1.28104,0.872715,0.981608,5.42358,0.850542,1.46714,1,0,0
0,-5202.76,-5.06775,1.30963,0.88715,0.933058,5.55911,0.8393,1.46298,1,0,0
0,-5190.04,-1.09394,1.297,0.859778,0.950501,5.50464,0.852268,1.4539,1,0,0
0,-5200.6,-5.35093,1.28258,0.852324,0.960108,5.36443,0.843586,1.49459,1,0,0
0,-5200.56,-4.00355,1.30405,0.895853,0.898962,5.45659,0.847299,1.46343,1,0,0
0,-5196.33,-1.30082,1.27538,0.870216,0.977909,5.40941,0.847596,1.46954,1,0,0
0,-5191.9,-3.57393,1.27381,0.871952,1.00239,5.28185,0.848566,1.45091,1,0,0
0,-5195.34,-3.09425,1.27544,0.859391,1.02772,5.42271,0.847223,1.47134,1,0,0
0,-5199.15,-5.02022,1.2749,0.862837,1.0222,5.64504,0.844108,1.45272,1,0,0
0,-5204.3,-2.71943,1.27922,0.872522,0.946717,5.5766,0.854287,1.4826,1,0,0
0,-5196.95,-1.16209,1.28382,0.86277,0.967051,5.50065,0.845962,1.47406,1,0,0
0,-5193.13,-1.53503,1.28075,0.881177,0.963199,5.34137,0.854634,1.46789,1,0,0
0,-5193.04,-1.04871,1.28876,0.857761,0.96229,5.43441,0.846247,1.47247,1,0,0
0,-5193.24,-0.725493,1.29351,0.876005,0.947627,5.44602,0.845587,1.45907,1,0,0
0,-5194.12,-1.51219,1.29366,0.88281,0.919796,5.40405,0.848668,1.45784,1,0,0
0,-5199.97,-2.53823,1.27983,0.868554,0.932629,5.53129,0.844141,1.45083,1,0,0
0,-5195.75,-1.53574,1.28663,0.882696,0.956373,5.372,0.851526,1.48038,1,0,0
0,-5188.32,-1.14009,1.29409,0.866326,0.971883,5.33247,0.854551,1.46356,1,0,0
0,-5189.96,-6.3338,1.30286,0.83277,0.999933,5.25374,0.852372,1.46186,1,0,0
0,-5191.57,-3.50722,1.30743,0.893988,0.962635,5.50712,0.856847,1.45037,1,0,0
0,-5191.13,-0.492912,1.29049,0.868176,0.958281,5.42332,0.846667,1.4578,1,0,0
0,-5191.53,-5.88588,1.27687,0.859511,0.933007,5.266,0.854192,1.43696,1,0,0
0,-5192.42,-1.00578,1.29712,0.871881,0.983888,5.5205,0.852177,1.47635,1,0,0
0,-5196.39,-2.85658,1.27882,0.88223,0.970174,5.33681,0.841619,1.46224,1,0,0
0,-5195.06,-2.77891,1.28333,0.895793,0.987274,5.30284,0.847051,1.46668,1,0,0
0,-5197.78,-4.504,1.26548,0.88669,1.01622,5.45937,0.852592,1.4507,1,0,0
0,-5191.5,-1.78062,1.3066,0.890102,0.951808,5.42246,0.849794,1.45951,1,0,0
0,-5191.92,-4.26773,1.30432,0.840958,0.919224,5.47128,0.855009,1.46015,1,0,0
0,-5194.63,-4.11,1.29339,0.871045,0.890364,5.30123,0.853267,1.47224,1,0,0
0,-5202.47,-2.5235,1.27599,0.871813,0.942361,5.53766,0.855818,1.47726,1,0,0
0,-5194.25,-2.46503,1.28014,0.897655,0.980341,5.37262,0.85362,1.45725,1,0,0
0,-5189.71,-0.975786,1.29985,0.874446,0.94884,5.45273,0.854369,1.4558,1,0,0
0,-5189.61,-1.1077,1.29237,0.866633,0.987567,5.46206,0.847352,1.44944,1,0,0
0,-5196.5,-3.47944,1.27704,0.844272,0.932305,5.37012,0.850826,1.47223,1,0,0
0,-5188.9,-2.80446,1.2935,0.84854,1.00489,5.34755,0.855026,1.46803,1,0,0
0,-5188.81,-2.18656,1.30394,0.850668,0.979575,5.55699,0.851291,1.46143,1,0,0
0,-5192.56,-0.945407,1.29692,0.875128,0.952562,5.48125,0.854853,1.47338,1,0,0
0,-5194.47,-1.70276,1.30247,0.884117,0.946655,5.45978,0.851563,1.47884,1,0,0
0,-5203.93,-2.50953,1.28029,0.881582,0.96262,5.53131,0.852479,1.48612,1,0,0
0,-5201.48,-4.73986,1.3044,0.878588,0.911233,5.66914,0.854281,1.4529,1,0,0
0,-5194.02,-0.905461,1.29976,0.872969,0.960923,5.54139,0.849897,1.47313,1,0,0
0,-5190.64,-1.37898,1.28457,0.854461,0.957625,5.35898,0.85263,1.46349,1,0,0
0,-5195.43,-3.73658,1.2959,0.866505,0.929747,5.33281,0.850738,1.49086,1,0,0
0,-5192.45,-1.15537,1.28466,0.877713,0.99971,5.38718,0.852685,1.47205,1,0,0
0,-5192.43,-2.2379,1.28782,0.893593,0.998962,5.37654,0.848548,1.45116,1,0,0
0,-5191.88,-3.37256,1.29734,0.895882,0.9944,5.52831,0.856285,1.44756,1,0,0
0,-5196.97,-2.62208,1.29728,0.879533,0.911583,5.39561,0.845302,1.47473,1,0,0
0,-5189.4,-3.53336,1.29744,0.841371,0.999626,5.59398,0.851863,1.46526,1,0,0
0,-5188.7,-2.01611,1.30215,0.860252,0.980072,5.42088,0.843919,1.45405,1,0,0
0,-5204.97,-5.40034,1.26532,0.887995,0.944343,5.286,0.848541,1.48012,1,0,0
0,-5196.3,-2.10517,1.29865,0.889732,0.960625,5.46229,0.842546,1.45937,1,0,0
0,-5201.89,-4.53643,1.26615,0.888207,0.933728,5.45695,0.854599,1.4476,1,0,0
