"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"142","lam[31]",0.2832426756,0.243757,0.164405972774545,0.1258593966,0.10145285,0.59461885,1.00031810081941,1911.14917866806,1962.73343888589
"143","lam[32]",0.41356922435,0.372548,0.192962564928646,0.1574550852,0.1887433,0.7737236,0.999688077969506,1920.02278218931,1925.66527399958
"144","lam[33]",0.2914543089,0.222926,0.25874419031973,0.1537426548,0.06490012,0.7149883,1.00127875561598,1945.35189593001,1899.26262965529
"145","lam[34]",0.31097723085,0.2626745,0.206193207018101,0.1543149384,0.09995468,0.6815611,1.00010579387409,2111.06878824067,1682.90059531623
"146","lam[35]",0.23761657955,0.1861345,0.209247604530615,0.13106221065,0.052788435,0.58060965,1.00195567998261,1835.35124521311,1920.33979309389
"147","lam[36]",0.157442845115,0.1113345,0.15363587863241,0.08240476125,0.02835358,0.45315795,0.99952538759606,1969.45393616337,1685.05509271868
"148","lam[37]",0.134609910455,0.0899772,0.147006886566911,0.07451369688,0.01957883,0.4001188,0.999515325137481,1890.1139512987,1579.55809135628
"149","lam[38]",0.37732823865,0.340502,0.183992065748069,0.1534869063,0.1594479,0.7311176,0.99973590359261,1974.85289825577,1717.20150548692
"150","lam[39]",0.30362141125,0.249931,0.206588866398366,0.1517789511,0.087621425,0.6823987,1.00079571953172,2030.44650012368,1714.97121631818
"151","lam[40]",0.34043808545,0.286681,0.221042992186008,0.1590058848,0.11619395,0.71840805,0.999911178845564,1829.33164185012,1956.06498496146
"152","lam[41]",0.1582518067,0.1043125,0.190357158094963,0.08705478789,0.02289109,0.46915185,1.0018842815471,1956.77354154638,1762.76273834757
"153","lam[42]",0.14421841241,0.102272,0.140707529935939,0.0799736679,0.02633897,0.4124603,1.00215544673032,1988.91663316188,1847.15004656627
"154","lam[43]",0.23701298825,0.186552,0.196043886045255,0.1236770094,0.053660765,0.58992985,0.999986369998985,2047.25578860398,1893.00667623692
"155","lam[44]",0.20969590459,0.1558305,0.187438779039127,0.11324165517,0.042433635,0.54884995,1.00088001671988,1763.72022715883,1698.60365713736
"156","lam[45]",0.20109032043,0.1454685,0.189257481255989,0.10866383115,0.04043357,0.5368786,1.00162344305392,1970.83490794824,1880.04650236912
"157","lam[46]",0.2771147717,0.2155075,0.222057288849708,0.1397068806,0.06913708,0.70147165,1.00039314370895,1985.68037592203,1901.77009154833
"158","lam[47]",0.2296514344,0.2058995,0.108895921372615,0.0880397532,0.10303065,0.4412278,1.00029441492951,1801.3666137986,1764.62764247609
"159","lam[48]",0.32151430605,0.287411,0.159851276941721,0.1302619773,0.1316094,0.61905255,0.999596409715451,2120.78585672072,1923.00432897657
"160","gamma[1]",3.445960615,3.38751,0.638570507447661,0.622373241,2.499629,4.604134,1.00122216121762,1809.10947491374,1951.99180737078
"161","gamma[2]",3.893816895,3.796875,0.769314705460599,0.708200955,2.7925005,5.2942965,1.00007604594052,1798.76050489424,1771.06137294096
"162","gamma[3]",4.235675615,4.191955,0.673137034409242,0.652114197,3.226914,5.430568,0.999583470670746,1851.70707151785,2045.99109753231
"163","gamma[4]",4.036746485,3.98118,0.816326435131463,0.796638045,2.8584385,5.4248765,1.00132209269722,1980.9950442277,1758.34553023293
"164","gamma[5]",4.291734025,4.22157,0.856873090680303,0.83418489,3.0323445,5.787329,0.999702308581167,2034.19435456286,2046.61499959446
"165","gamma[6]",3.80258648,3.753315,0.716322086758532,0.702337272,2.726615,5.100382,1.00024522691027,1914.75005153948,1782.74571733698
"166","gamma[7]",3.77343656,3.728695,0.647587599489577,0.647495898,2.803751,4.8974975,0.999531137540098,2015.42729107707,1728.67080124597
"167","gamma[8]",3.12403755,3.07548,0.538153582365112,0.523995318,2.290774,4.069456,0.999626056557167,2067.54057092301,2003.46196224318
"168","gamma[9]",4.34162308,4.287705,0.727479811207274,0.741470499,3.283867,5.6495,0.999584760933269,1917.42649791093,1912.28268370385
"169","gamma[10]",4.34107828,4.288395,0.721563922779313,0.717741485999999,3.272488,5.593689,1.00004434913433,1485.60057824214,1803.73107766961
"170","gamma[11]",5.196178635,5.115245,0.874451180510344,0.802761183,3.8798395,6.7327595,1.00039609621492,1908.87421475911,1921.17599996482
"171","gamma[12]",2.33773755,2.293625,0.511683636942941,0.480747876,1.585127,3.275093,0.999661009164867,1956.39033188851,1715.57933537124
"172","gamma[13]",2.566674715,2.498095,0.580449901389629,0.559666674,1.728118,3.554448,0.999839434017104,1934.34211193309,1824.42487396302
"173","gamma[14]",2.819981885,2.764755,0.553671541789164,0.521852961,2.0071495,3.808827,1.00074305142812,1916.88172191425,1962.49249375557
"174","gamma[15]",4.58879851,4.490275,0.840405150876641,0.793791453,3.3412545,6.1331155,1.00066113809908,1910.85092411654,1962.73343888589
"175","gamma[16]",4.37407463,4.31657,0.854721612312887,0.845030108999999,3.1118155,5.906964,0.999682099322063,1964.83941334575,1871.24836088305
"176","gamma[17]",2.41858515,2.36463,0.543576484038334,0.53306883,1.6399475,3.394115,0.99953447248317,1915.97718969931,1883.76504671098
"177","gamma[18]",4.744970825,4.683835,0.848566592326952,0.814748004,3.4847695,6.2950095,0.999518506115568,2026.41698796562,1858.07765853984
"178","gamma[19]",4.215584675,4.145725,0.831701291771428,0.808802778000001,3.0104005,5.6883395,0.999639554835082,2123.99401159075,1872.30957359385
