"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw","Chain"
"51",-1023.42,-1.46256,1.80883,0.963371,0.343667,2.7098,0.584276,0.951256,1.45869,1,0,1,51,1,1
"52",-1026.14,-3.492,1.84238,1.02916,0.335845,2.75852,0.669528,0.928638,1.51305,1,0,1,52,1,1
"53",-1022.31,-1.55561,1.80856,0.996404,0.397898,2.77698,0.598589,0.937165,1.455,1,0,1,53,1,1
"54",-1029.43,-2.94558,1.86249,1.00408,0.330835,2.56399,0.607993,0.915034,1.47011,1,0,1,54,1,1
"55",-1036.08,-8.45052,1.87896,0.980148,0.374485,2.55958,0.544648,1.05495,1.48558,1,0,1,55,1,1
"56",-1030.38,-4.73437,1.87336,0.951904,0.336391,2.64349,0.570701,1.005,1.50205,1,0,1,56,1,1
"57",-1025.66,-3.85738,1.75662,1.00608,0.34205,2.69387,0.600612,0.97189,1.49501,1,0,1,57,1,1
"58",-1024.83,-2.50847,1.81207,1.02899,0.341186,2.73457,0.57974,0.996957,1.48779,1,0,1,58,1,1
"59",-1024.14,-0.695148,1.84504,1.00079,0.381572,2.67209,0.588081,0.939346,1.47138,1,0,1,59,1,1
"60",-1059.28,-4.32413,1.791,1.03747,0.319854,2.76866,0.597177,1.01421,1.48448,1,0,1,60,1,1
"61",-1029.78,-4.11277,1.89968,1.00901,0.350639,2.68599,0.612307,1.00926,1.45588,1,0,1,61,1,1
"62",-1024.97,-3.62217,1.87269,1.04052,0.359471,2.63266,0.586752,0.990968,1.48048,1,0,1,62,1,1
"63",-1023.51,-1.54391,1.85205,1.00514,0.382354,2.74654,0.572649,0.970486,1.48267,1,0,1,63,1,1
"64",-1028.6,-4.79774,1.85995,0.993712,0.494277,2.74442,0.623414,0.964276,1.50633,1,0,1,64,1,1
"65",-1024.25,-3.74621,1.83413,1.01329,0.421703,2.82342,0.625228,0.924552,1.51525,1,0,1,65,1,1
"66",-1025.42,-3.12341,1.79601,0.994261,0.308992,2.60332,0.602243,0.899063,1.47763,1,0,1,66,1,1
"67",-1027.46,-2.93306,1.874,1.01938,0.331242,2.66816,0.625786,0.98079,1.44539,1,0,1,67,1,1
"68",-1026.95,-1.86224,1.87501,0.988949,0.34664,2.73134,0.652411,0.917476,1.47037,1,0,1,68,1,1
"69",-1027.27,-2.33767,1.81474,0.985026,0.358047,2.62693,0.637548,0.912137,1.51191,1,0,1,69,1,1
