"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"56",-5198.48,-1.96682,1.33763,0.836704,0.961628,5.38045,0.85914,1.43552,1,0,0,1,56,56
"57",-5192.81,-1.32022,1.32849,0.848264,1.04213,5.50114,0.852082,1.4355,1,0,0,1,57,57
"58",-5205.57,-9.25752,1.34638,0.802543,0.919989,5.48334,0.850436,1.44669,1,0,0,1,58,58
"59",-5195.09,-4.34473,1.3382,0.869489,0.981452,5.53782,0.841321,1.45858,1,0,0,1,59,59
"60",-5189.9,-1.7903,1.32132,0.837822,1.01026,5.35675,0.856471,1.46468,1,0,0,1,60,60
"61",-5194.71,-0.686456,1.33661,0.864754,1.00965,5.36315,0.861485,1.44285,1,0,0,1,61,61
"62",-5189.99,-0.887839,1.32492,0.844763,0.998796,5.34996,0.849274,1.4491,1,0,0,1,62,62
"63",-5191.83,-0.64391,1.32383,0.848996,1.02063,5.32216,0.859256,1.44821,1,0,0,1,63,63
"64",-5195.33,-4.55072,1.33486,0.866921,0.920855,5.42436,0.85766,1.43832,1,0,0,1,64,64
"65",-5193.5,-1.66806,1.32964,0.847578,0.993476,5.42879,0.866905,1.44799,1,0,0,1,65,65
"66",-5192.09,-2.59762,1.3341,0.832457,1.00544,5.43132,0.857783,1.47285,1,0,0,1,66,66
"67",-5190.72,-2.62643,1.31884,0.826824,1.01813,5.52046,0.851859,1.43945,1,0,0,1,67,67
"68",-5207.15,-4.60879,1.34516,0.864636,1.06714,5.25833,0.869365,1.44008,1,0,0,1,68,68
"69",-5192.56,-2.6014,1.32111,0.83317,0.97707,5.48882,0.862915,1.44266,1,0,0,1,69,69
"70",-5189.58,-1.82159,1.31565,0.853485,0.994424,5.2572,0.855841,1.44897,1,0,0,1,70,70
"71",-5194.23,-0.85728,1.33218,0.85739,0.993741,5.34261,0.863222,1.44312,1,0,0,1,71,71
"72",-5197.08,-5.91316,1.33052,0.837599,1.03062,5.08036,0.850077,1.47553,1,0,0,1,72,72
"73",-5193.69,-0.92004,1.33772,0.839505,1.03684,5.41402,0.855939,1.45589,1,0,0,1,73,73
"74",-5192.52,-5.47237,1.32976,0.829939,1.07204,5.47839,0.8461,1.47325,1,0,0,1,74,74
"75",-5195.89,-2.07971,1.33961,0.8714,1.03675,5.22908,0.850566,1.45227,1,0,0,1,75,75
"76",-5192.64,-1.8715,1.32609,0.850212,1.04234,5.28621,0.860278,1.46305,1,0,0,1,76,76
"77",-5195,-1.18552,1.33546,0.829179,1.0216,5.47577,0.856951,1.44364,1,0,0,1,77,77
"78",-5195.22,-2.39543,1.32837,0.868896,1.01858,5.14607,0.852425,1.441,1,0,0,1,78,78
"79",-5192.83,-2.93741,1.32259,0.819619,1.00042,5.34684,0.85555,1.46326,1,0,0,1,79,79
"80",-5193.25,-3.69329,1.31027,0.851862,1.0188,5.33134,0.853035,1.42101,1,0,0,1,80,80
"81",-5195.73,-3.99137,1.33634,0.843012,0.975668,5.12157,0.845481,1.44917,1,0,0,1,81,81
"82",-5196.64,-2.00643,1.33259,0.818355,1.0146,5.41954,0.852533,1.43925,1,0,0,1,82,82
"83",-5194.37,-1.37896,1.32889,0.836504,1.03497,5.33008,0.861214,1.45632,1,0,0,1,83,83
"84",-5198.13,-1.88554,1.34152,0.879688,1.00965,5.38309,0.854793,1.43139,1,0,0,1,84,84
"85",-5190.94,-2.67479,1.32932,0.868504,1.00247,5.52366,0.846817,1.46256,1,0,0,1,85,85
"86",-5197.74,-5.19584,1.31495,0.804792,1.004,5.3886,0.861204,1.44397,1,0,0,1,86,86
"87",-5189.48,-6.07568,1.31616,0.875985,0.937931,5.36086,0.861493,1.46702,1,0,0,1,87,87
"88",-5190.99,-0.812012,1.33438,0.861279,1.03231,5.47242,0.854763,1.45455,1,0,0,1,88,88
"89",-5192.12,-5.24494,1.30833,0.82119,0.993079,5.32564,0.846894,1.43422,1,0,0,1,89,89
"90",-5191.24,-2.24468,1.3273,0.827792,0.979817,5.51039,0.855148,1.45488,1,0,0,1,90,90
"91",-5195.61,-1.88736,1.33774,0.856754,0.959425,5.26066,0.858049,1.44354,1,0,0,1,91,91
"92",-5191.09,-1.40161,1.3235,0.843961,0.986755,5.26504,0.850489,1.44586,1,0,0,1,92,92
"93",-5192.61,-3.29992,1.31989,0.840221,0.996503,5.43469,0.84408,1.42735,1,0,0,1,93,93
"94",-5200.87,-3.71253,1.3222,0.822834,1.02821,5.28965,0.86777,1.44327,1,0,0,1,94,94
"95",-5204.83,-4.74887,1.33945,0.810234,1.04206,5.18535,0.853987,1.45507,1,0,0,1,95,95
"96",-5195.64,-6.09824,1.33634,0.910545,1.02548,5.51177,0.856891,1.46096,1,0,0,1,96,96
"97",-5202.43,-2.08801,1.3333,0.839529,1.00901,5.35355,0.861956,1.42166,1,0,0,1,97,97
"98",-5194.97,-1.78946,1.34334,0.836607,1.00633,5.34444,0.847816,1.45679,1,0,0,1,98,98
"99",-5189.06,-4.48175,1.31029,0.860064,1.02905,5.3176,0.858646,1.47381,1,0,0,1,99,99
"100",-5188.51,-2.33011,1.32286,0.847873,1.00432,5.4074,0.851873,1.47173,1,0,0,1,100,100
"101",-5194.89,-1.03507,1.34435,0.856305,1.01057,5.50471,0.854136,1.44497,1,0,0,1,101,101
"102",-5193.8,-2.31792,1.3204,0.859357,1.05057,5.21505,0.852339,1.44258,1,0,0,1,102,102
"103",-5190.67,-2.94299,1.33079,0.834528,1.04607,5.50876,0.84976,1.46628,1,0,0,1,103,103
"104",-5194.47,-1.53317,1.32966,0.869075,0.988177,5.32433,0.853127,1.42895,1,0,0,1,104,104
"105",-5193.86,-3.49824,1.32292,0.826545,0.976101,5.18942,0.851022,1.45378,1,0,0,1,105,105
"106",-5192.49,-2.65018,1.32325,0.874849,1.02883,5.26527,0.864632,1.45221,1,0,0,1,106,106
"107",-5191.15,-0.731774,1.32941,0.844868,1.03027,5.37429,0.850231,1.45311,1,0,0,1,107,107
"108",-5193.56,-4.11273,1.33241,0.853108,1.04596,5.71648,0.852,1.43724,1,0,0,1,108,108
"109",-5192.2,-2.26255,1.33725,0.841392,1.01329,5.33218,0.849219,1.47031,1,0,0,1,109,109
"110",-5189.41,-0.887072,1.32517,0.868332,1.01692,5.40452,0.858756,1.45189,1,0,0,1,110,110
"111",-5195.73,-4.91131,1.33154,0.867164,0.987078,5.68087,0.844327,1.45581,1,0,0,1,111,111
"112",-5195.28,-0.923403,1.33673,0.849916,1.04118,5.33798,0.860578,1.45355,1,0,0,1,112,112
"113",-5191.65,-1.30369,1.3373,0.84236,1.01211,5.42891,0.848994,1.46027,1,0,0,1,113,113
"114",-5191.93,-1.5422,1.32615,0.860891,1.0108,5.54058,0.853224,1.43269,1,0,0,1,114,114
"115",-5196.13,-0.636029,1.33819,0.842412,1.00606,5.41699,0.860967,1.44232,1,0,0,1,115,115
"116",-5196.25,-1.75844,1.32433,0.855507,1.0447,5.27141,0.853348,1.43014,1,0,0,1,116,116
"117",-5189.2,-1.94735,1.3206,0.881781,1.01122,5.3723,0.855396,1.44986,1,0,0,1,117,117
"118",-5194.42,-3.03454,1.34775,0.872761,0.970733,5.48491,0.857591,1.45805,1,0,0,1,118,118
"119",-5200.45,-1.17599,1.33542,0.839749,1.02423,5.31803,0.85584,1.428,1,0,0,1,119,119
"120",-5197.5,-3.89697,1.32963,0.856134,1.04705,5.28187,0.871138,1.45912,1,0,0,1,120,120
"121",-5193.26,-1.85749,1.32959,0.843235,1.00134,5.57854,0.858228,1.43289,1,0,0,1,121,121
"122",-5199.12,-1.30886,1.33926,0.837177,0.993235,5.40959,0.861844,1.4358,1,0,0,1,122,122
"123",-5196.29,-2.96283,1.3382,0.858756,1.08929,5.4524,0.858829,1.44901,1,0,0,1,123,123
"124",-5202.23,-3.72624,1.33075,0.857827,0.997737,5.08017,0.859739,1.43099,1,0,0,1,124,124
"125",-5195.88,-4.62387,1.31392,0.837816,1.01023,5.27181,0.847255,1.41863,1,0,0,1,125,125
"126",-5190.55,-3.43572,1.32029,0.884344,1.04048,5.54957,0.854855,1.44943,1,0,0,1,126,126
"127",-5196.31,-0.736673,1.33996,0.851009,1.02141,5.26655,0.852373,1.44711,1,0,0,1,127,127
"128",-5199.47,-1.9803,1.33577,0.872704,1.02091,5.25296,0.861078,1.4315,1,0,0,1,128,128
"129",-5190.67,-2.90314,1.33133,0.835833,1.01023,5.60504,0.848237,1.45804,1,0,0,1,129,129
"130",-5199.49,-4.50345,1.34382,0.877608,0.988203,5.4385,0.871451,1.43888,1,0,0,1,130,130
"131",-5198.98,-5.52803,1.33562,0.893826,0.98105,5.20388,0.867322,1.43702,1,0,0,1,131,131
"132",-5189.38,-1.32737,1.32485,0.868123,0.987376,5.43553,0.860643,1.44943,1,0,0,1,132,132
"133",-5196.02,-2.69381,1.33105,0.872626,1.05439,5.26732,0.846608,1.44101,1,0,0,1,133,133
"134",-5191.72,-0.510866,1.32907,0.852357,1.01751,5.45325,0.860455,1.44349,1,0,0,1,134,134
"135",-5191.83,-0.698178,1.32991,0.851718,1.00307,5.26024,0.852988,1.4524,1,0,0,1,135,135
