"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"510",-5190.39,-3.80102,1.30716,0.840238,1.04209,5.29487,0.850151,1.44476,1,0,0,1,510,510
"511",-5197.77,-2.201,1.33748,0.829138,1.01531,5.46077,0.865762,1.44726,1,0,0,1,511,511
"512",-5193.89,-5.45998,1.32753,0.842107,1.05027,5.73191,0.848411,1.4325,1,0,0,1,512,512
"513",-5200.82,-4.30335,1.34263,0.831479,1.0019,5.10237,0.85269,1.46233,1,0,0,1,513,513
"514",-5193.28,-0.454385,1.33224,0.84875,1.01267,5.39116,0.861825,1.44769,1,0,0,1,514,514
"515",-5193.03,-0.801144,1.32809,0.840295,1.04433,5.36556,0.8561,1.44888,1,0,0,1,515,515
"516",-5197.79,-4.38036,1.34245,0.835974,1.01934,5.29306,0.837837,1.44573,1,0,0,1,516,516
"517",-5190.35,-1.75025,1.32245,0.866236,1.01352,5.2391,0.857505,1.45741,1,0,0,1,517,517
"518",-5191.73,-2.5093,1.33742,0.858762,1.02385,5.34669,0.848713,1.47224,1,0,0,1,518,518
"519",-5204.44,-4.42953,1.3455,0.836239,1.10371,5.35958,0.855534,1.44369,1,0,0,1,519,519
"520",-5193.3,-2.62187,1.32339,0.870332,1.03181,5.18187,0.859861,1.45349,1,0,0,1,520,520
"521",-5190.22,-1.68704,1.32502,0.839956,1.00622,5.57639,0.854217,1.44258,1,0,0,1,521,521
"522",-5192.27,-1.57502,1.32695,0.866175,1.02872,5.25256,0.848631,1.4466,1,0,0,1,522,522
"523",-5214.29,-7.67161,1.35019,0.796819,0.992078,5.17654,0.85199,1.44049,1,0,0,1,523,523
"524",-5194.9,-3.34821,1.35014,0.864503,1.01379,5.43536,0.848186,1.4683,1,0,0,1,524,524
"525",-5199.65,-5.8475,1.32757,0.813806,1.05108,5.15407,0.846601,1.45677,1,0,0,1,525,525
"526",-5194.29,-1.48849,1.34166,0.864201,0.969354,5.36098,0.858844,1.44888,1,0,0,1,526,526
"527",-5190.66,-1.97117,1.32227,0.868443,1.04465,5.29709,0.851078,1.45504,1,0,0,1,527,527
"528",-5198.44,-3.42277,1.33184,0.864372,1.06754,5.50653,0.852132,1.42282,1,0,0,1,528,528
"529",-5197.91,-3.29593,1.32252,0.824747,1.04672,5.19948,0.851574,1.44305,1,0,0,1,529,529
"530",-5189.11,-3.7801,1.32018,0.872077,0.9753,5.52308,0.856191,1.46837,1,0,0,1,530,530
"531",-5195.48,-2.54498,1.33775,0.875312,0.979388,5.46845,0.847194,1.4363,1,0,0,1,531,531
"532",-5195.29,-1.8245,1.32132,0.853329,1.03216,5.20552,0.857997,1.43907,1,0,0,1,532,532
"533",-5193.3,-0.913484,1.33106,0.85913,1.04337,5.28499,0.854593,1.45199,1,0,0,1,533,533
"534",-5200.04,-5.01323,1.32653,0.839568,0.959044,5.47011,0.85292,1.41081,1,0,0,1,534,534
"535",-5196.43,-2.37306,1.3454,0.862538,0.970827,5.35283,0.847026,1.44057,1,0,0,1,535,535
"536",-5193.5,-1.40267,1.32841,0.873999,1.00994,5.24848,0.856064,1.43949,1,0,0,1,536,536
"537",-5195.87,-3.08874,1.32158,0.863538,0.989197,5.29705,0.867213,1.43076,1,0,0,1,537,537
"538",-5196.34,-0.849858,1.33883,0.863537,0.994271,5.29183,0.855532,1.43735,1,0,0,1,538,538
"539",-5192.93,-0.379657,1.33117,0.842746,1.00309,5.44178,0.855626,1.43952,1,0,0,1,539,539
"540",-5198.6,-2.88242,1.33171,0.826784,0.96551,5.21356,0.854461,1.44065,1,0,0,1,540,540
"541",-5194.94,-7.73719,1.33835,0.827824,0.959156,5.50682,0.837036,1.46784,1,0,0,1,541,541
"542",-5194.28,-3.6274,1.33752,0.892,1.03644,5.29286,0.86003,1.46024,1,0,0,1,542,542
"543",-5200.29,-3.51449,1.34919,0.834447,1.04403,5.37949,0.84343,1.44564,1,0,0,1,543,543
"544",-5190.99,-1.06685,1.32558,0.8411,1.02093,5.37361,0.847871,1.44644,1,0,0,1,544,544
"545",-5192.73,-1.08011,1.34245,0.860719,1.01971,5.46283,0.855803,1.4575,1,0,0,1,545,545
"546",-5192.69,-2.29955,1.34428,0.859642,0.995503,5.53669,0.85988,1.46152,1,0,0,1,546,546
"547",-5197.88,-5.24118,1.32601,0.890085,1.02461,5.29373,0.870235,1.43221,1,0,0,1,547,547
"548",-5197.91,-1.55658,1.34874,0.843161,1.02237,5.38167,0.849383,1.4481,1,0,0,1,548,548
"549",-5192.09,-0.950604,1.32125,0.848803,1.01899,5.27951,0.854044,1.44121,1,0,0,1,549,549
"550",-5191.26,-1.15649,1.3223,0.845021,0.999763,5.3765,0.862567,1.44975,1,0,0,1,550,550
"551",-5200.68,-6.48063,1.33996,0.873255,1.00064,5.64505,0.870183,1.4229,1,0,0,1,551,551
"552",-5189.94,-1.15517,1.32692,0.867852,0.99785,5.421,0.848887,1.44853,1,0,0,1,552,552
"553",-5190.57,-2.76222,1.33529,0.878027,0.995389,5.45709,0.86195,1.46564,1,0,0,1,553,553
"554",-5201.57,-7.46337,1.35733,0.878075,0.97775,5.08626,0.847783,1.45567,1,0,0,1,554,554
"555",-5194.43,-1.40734,1.33438,0.864477,1.06291,5.39712,0.857647,1.44672,1,0,0,1,555,555
"556",-5196.1,-4.79926,1.34584,0.872389,1.07178,5.52851,0.86537,1.45717,1,0,0,1,556,556
"557",-5199.91,-5.36279,1.35484,0.866042,1.05325,5.5557,0.867318,1.45162,1,0,0,1,557,557
"558",-5201.48,-2.63929,1.32881,0.854624,1.02969,5.24055,0.86678,1.43104,1,0,0,1,558,558
"559",-5190.63,-3.83999,1.31465,0.87262,1.0113,5.61692,0.85168,1.44123,1,0,0,1,559,559
"560",-5195.83,-2.00668,1.33116,0.848437,1.0413,5.23172,0.846371,1.44218,1,0,0,1,560,560
"561",-5194.99,-2.37036,1.32622,0.852847,1.05645,5.31717,0.865677,1.45301,1,0,0,1,561,561
"562",-5190.55,-4.39606,1.32562,0.861622,0.995946,5.31897,0.838738,1.46309,1,0,0,1,562,562
"563",-5189.22,-4.64646,1.31484,0.88036,0.950825,5.40793,0.861224,1.45069,1,0,0,1,563,563
"564",-5193.72,-3.06397,1.31873,0.840761,0.95912,5.23724,0.857295,1.43786,1,0,0,1,564,564
"565",-5190.88,-4.02953,1.30785,0.86237,1.03276,5.44663,0.855359,1.42523,1,0,0,1,565,565
"566",-5193.16,-3.49129,1.33843,0.870084,0.959888,5.41373,0.843801,1.45272,1,0,0,1,566,566
"567",-5202.49,-2.36896,1.35269,0.831671,0.995544,5.39482,0.85343,1.44016,1,0,0,1,567,567
"568",-5193,-3.65398,1.32756,0.840214,1.00363,5.28604,0.861069,1.47874,1,0,0,1,568,568
"569",-5191.3,-2.01537,1.33174,0.830947,0.997068,5.45442,0.846811,1.45518,1,0,0,1,569,569
"570",-5194.84,-2.40244,1.32991,0.872273,1.04584,5.50131,0.860179,1.43005,1,0,0,1,570,570
"571",-5190.55,-3.836,1.31157,0.873388,1.02579,5.33186,0.866175,1.44493,1,0,0,1,571,571
"572",-5206.76,-3.48538,1.3479,0.867695,1.04322,5.16865,0.85489,1.43212,1,0,0,1,572,572
"573",-5192.65,-5.44032,1.33593,0.844032,1.01535,5.40464,0.854707,1.49215,1,0,0,1,573,573
"574",-5197.52,-1.79446,1.32823,0.843781,1.00618,5.23736,0.86515,1.44614,1,0,0,1,574,574
"575",-5195.8,-5.27601,1.31653,0.883651,1.04989,5.48406,0.850985,1.4203,1,0,0,1,575,575
"576",-5192.46,-0.476139,1.33236,0.858307,1.03646,5.42805,0.858132,1.4456,1,0,0,1,576,576
"577",-5195.2,-2.59753,1.32276,0.833144,0.99022,5.3229,0.866295,1.45255,1,0,0,1,577,577
"578",-5193.65,-3.15534,1.33683,0.886366,1.01974,5.58945,0.857044,1.44793,1,0,0,1,578,578
"579",-5200.59,-1.11585,1.34509,0.848183,1.0392,5.3676,0.856389,1.43661,1,0,0,1,579,579
"580",-5194.12,-2.23629,1.32127,0.834438,1.01508,5.36133,0.848754,1.42832,1,0,0,1,580,580
"581",-5195.43,-2.12636,1.34629,0.83818,1.00314,5.41022,0.858429,1.46544,1,0,0,1,581,581
"582",-5193.12,-3.568,1.34028,0.861868,0.989647,5.48222,0.868226,1.46538,1,0,0,1,582,582
"583",-5194.55,-1.91465,1.33248,0.846779,1.01456,5.40866,0.868215,1.45337,1,0,0,1,583,583
"584",-5191.64,-1.20961,1.33076,0.861181,1.00343,5.23023,0.851594,1.45385,1,0,0,1,584,584
"585",-5226.29,-10.1131,1.33546,0.84642,1.05371,5.0658,0.869828,1.40562,1,0,0,1,585,585
"586",-5204.75,-5.87987,1.33726,0.856961,0.986827,5.26099,0.877677,1.44347,1,0,0,1,586,586
"587",-5204.72,-3.55203,1.34262,0.871569,0.994616,5.27198,0.865775,1.42475,1,0,0,1,587,587
"588",-5190.14,-1.60966,1.32545,0.875574,1.02581,5.44009,0.861265,1.44824,1,0,0,1,588,588
"589",-5206.96,-3.62562,1.34682,0.855047,0.985051,5.28217,0.868298,1.43019,1,0,0,1,589,589
"590",-5193.41,-2.07912,1.34096,0.854061,0.997467,5.47002,0.844289,1.45223,1,0,0,1,590,590
"591",-5191.63,-3.46041,1.32588,0.878264,0.947936,5.48586,0.856013,1.44431,1,0,0,1,591,591
"592",-5201.35,-6.128,1.34093,0.878155,1.04365,5.07624,0.863218,1.46412,1,0,0,1,592,592
"593",-5202.12,-3.68749,1.3488,0.850393,1.02218,5.35112,0.870741,1.45507,1,0,0,1,593,593
"594",-5194.22,-2.98103,1.32199,0.825504,1.02442,5.47227,0.865678,1.44582,1,0,0,1,594,594
"595",-5209.14,-7.07019,1.35534,0.835767,0.931902,5.23862,0.850149,1.42748,1,0,0,1,595,595
"596",-5204.02,-2.96261,1.34577,0.866218,1.00713,5.16868,0.853766,1.42988,1,0,0,1,596,596
"597",-5196.57,-3.46967,1.33762,0.880366,0.971917,5.49706,0.863415,1.43228,1,0,0,1,597,597
"598",-5194.55,-2.82253,1.33484,0.886374,0.969244,5.42581,0.855741,1.436,1,0,0,1,598,598
"599",-5199.24,-3.21539,1.33532,0.876591,1.03357,5.25413,0.8461,1.42889,1,0,0,1,599,599
"600",-5189.14,-2.34804,1.32485,0.861853,1.00365,5.41878,0.863793,1.46694,1,0,0,1,600,600
"601",-5195.17,-0.232796,1.33841,0.852509,1.01512,5.33053,0.85373,1.44344,1,0,0,1,601,601
"602",-5193.99,-0.470149,1.33446,0.849009,1.01152,5.28399,0.851516,1.44599,1,0,0,1,602,602
"603",-5194.76,-3.21378,1.33322,0.863389,1.02445,5.18572,0.842738,1.44752,1,0,0,1,603,603
"604",-5195.38,-2.74709,1.3478,0.856528,1.00507,5.50873,0.845367,1.45475,1,0,0,1,604,604
"605",-5193.18,-1.23748,1.33052,0.864523,1.00312,5.47669,0.861611,1.43489,1,0,0,1,605,605
"606",-5198.85,-2.90404,1.32715,0.822158,1.00132,5.45954,0.861107,1.42721,1,0,0,1,606,606
"607",-5194.92,-2.49673,1.33597,0.852114,0.980268,5.60466,0.859931,1.43432,1,0,0,1,607,607
"608",-5192.15,-3.16267,1.32508,0.867211,1.07794,5.48969,0.850178,1.45059,1,0,0,1,608,608
"609",-5195.73,-1.81497,1.34206,0.847518,0.978105,5.53571,0.859605,1.44142,1,0,0,1,609,609
"610",-5207.12,-7.0665,1.34596,0.843922,1.06223,5.64149,0.849819,1.41167,1,0,0,1,610,610
"611",-5207.46,-6.1939,1.33567,0.806597,0.949048,5.30976,0.864859,1.4424,1,0,0,1,611,611
"612",-5187.66,-1.75943,1.31668,0.861437,1.00994,5.47193,0.859648,1.45232,1,0,0,1,612,612
"613",-5203.91,-6.39115,1.34386,0.883825,0.974264,5.64929,0.84652,1.42731,1,0,0,1,613,613
"614",-5192.57,-3.85283,1.34086,0.874765,1.00581,5.31237,0.848113,1.47478,1,0,0,1,614,614
"615",-5198.11,-4.63909,1.3387,0.836747,0.976653,5.66944,0.864155,1.43345,1,0,0,1,615,615
"616",-5193.15,-1.6316,1.32364,0.832682,1.03078,5.45223,0.861392,1.4419,1,0,0,1,616,616
"617",-5188.74,-2.91345,1.30851,0.844044,1.04027,5.41334,0.853874,1.44445,1,0,0,1,617,617
"618",-5191.94,-3.79859,1.33753,0.86274,1.00692,5.44486,0.845699,1.47647,1,0,0,1,618,618
"619",-5195.77,-3.88842,1.34598,0.863446,0.978601,5.60143,0.846931,1.45584,1,0,0,1,619,619
"620",-5192.81,-0.606492,1.33829,0.856879,0.985779,5.42066,0.858073,1.4491,1,0,0,1,620,620
"621",-5190.98,-0.930735,1.33036,0.860762,0.998589,5.50753,0.851168,1.44365,1,0,0,1,621,621
"622",-5191.2,-1.22951,1.33257,0.856206,0.971534,5.49407,0.853251,1.44681,1,0,0,1,622,622
"623",-5195.13,-2.70152,1.33322,0.86971,1.05379,5.52246,0.84699,1.43963,1,0,0,1,623,623
"624",-5190.33,-1.96534,1.32616,0.857485,0.951766,5.36331,0.853211,1.44554,1,0,0,1,624,624
"625",-5198.69,-3.93365,1.345,0.885483,1.01055,5.31616,0.867966,1.44832,1,0,0,1,625,625
"626",-5203.37,-6.41786,1.32394,0.816869,1.09912,5.40361,0.861031,1.42823,1,0,0,1,626,626
"627",-5205.88,-2.79533,1.35062,0.845371,1.02971,5.19499,0.860941,1.44754,1,0,0,1,627,627
"628",-5188.36,-4.35533,1.31792,0.848311,1.03556,5.67873,0.853483,1.45964,1,0,0,1,628,628
"629",-5203.24,-3.99814,1.33943,0.855776,0.976109,5.35298,0.848562,1.41256,1,0,0,1,629,629
"630",-5190.87,-2.51424,1.33754,0.863286,1.0185,5.42315,0.854971,1.47506,1,0,0,1,630,630
"631",-5194.76,-3.25182,1.33341,0.877943,1.03542,5.18642,0.847213,1.45219,1,0,0,1,631,631
"632",-5196.07,-4.29652,1.31545,0.831846,1.05539,5.22142,0.847937,1.43522,1,0,0,1,632,632
"633",-5189.39,-1.83614,1.32432,0.861073,1.03043,5.46414,0.848138,1.45882,1,0,0,1,633,633
"634",-5191.18,-2.7277,1.31784,0.863744,0.978774,5.46887,0.851082,1.42897,1,0,0,1,634,634
"635",-5200.03,-5.44302,1.32888,0.854996,1.10605,5.49809,0.860167,1.42422,1,0,0,1,635,635
"636",-5196.34,-4.5445,1.34229,0.874171,0.999201,5.27908,0.838631,1.44853,1,0,0,1,636,636
"637",-5199.4,-2.87005,1.33852,0.883378,1.03794,5.32138,0.849347,1.43082,1,0,0,1,637,637
"638",-5192.78,-1.55207,1.34014,0.860794,1.00216,5.39454,0.845968,1.45443,1,0,0,1,638,638
"639",-5201.45,-1.75387,1.34793,0.845314,1.0503,5.36628,0.852759,1.43899,1,0,0,1,639,639
"640",-5192.94,-2.00746,1.33157,0.83822,0.965811,5.31378,0.858181,1.46016,1,0,0,1,640,640
"641",-5199.28,-0.996292,1.33775,0.844908,0.99249,5.29568,0.857248,1.43214,1,0,0,1,641,641
"642",-5194.39,-2.72834,1.33043,0.8606,0.944559,5.39864,0.856666,1.43181,1,0,0,1,642,642
"643",-5199.52,-4.14596,1.3257,0.843594,1.02446,5.19981,0.844412,1.42145,1,0,0,1,643,643
"644",-5202.6,-5.10475,1.3315,0.867787,1.00077,5.04772,0.853304,1.42467,1,0,0,1,644,644
"645",-5194.66,-1.65849,1.32824,0.834669,1.02979,5.46258,0.851012,1.43065,1,0,0,1,645,645
"646",-5201.83,-2.82986,1.33984,0.850463,1.01561,5.28484,0.845512,1.4226,1,0,0,1,646,646
"647",-5193.96,-4.1018,1.33632,0.859878,0.961893,5.4347,0.839651,1.44606,1,0,0,1,647,647
"648",-5194.71,-1.83283,1.32504,0.865403,1.00453,5.38885,0.862304,1.42725,1,0,0,1,648,648
"649",-5190.1,-0.941821,1.32538,0.867399,1.02318,5.41822,0.850733,1.44712,1,0,0,1,649,649
"650",-5197.03,-5.92205,1.31198,0.857512,0.992733,5.29744,0.873456,1.43217,1,0,0,1,650,650
"651",-5193.23,-1.80075,1.33263,0.851212,1.05215,5.48337,0.863939,1.44845,1,0,0,1,651,651
"652",-5197.11,-4.67027,1.34106,0.885866,1.05668,5.45878,0.868295,1.44686,1,0,0,1,652,652
"653",-5194.52,-3.13866,1.34692,0.853144,0.975453,5.47914,0.845454,1.4578,1,0,0,1,653,653
"654",-5197.15,-2.75627,1.33895,0.887614,1.02401,5.45246,0.859933,1.43337,1,0,0,1,654,654
"655",-5192.21,-0.8065,1.32966,0.8519,1.01658,5.48605,0.851021,1.43669,1,0,0,1,655,655
"656",-5199.5,-4.74935,1.34312,0.852168,1.08906,5.26498,0.847118,1.46258,1,0,0,1,656,656
"657",-5206.22,-4.05291,1.36089,0.852278,1.0016,5.3087,0.864286,1.4504,1,0,0,1,657,657
"658",-5194.49,-2.73095,1.3498,0.850476,1.01098,5.56191,0.855954,1.46119,1,0,0,1,658,658
"659",-5192.32,-0.959933,1.32788,0.83319,0.99509,5.4421,0.853625,1.44172,1,0,0,1,659,659
"660",-5199.62,-2.71107,1.3365,0.85888,1.01835,5.44493,0.847048,1.41954,1,0,0,1,660,660
"661",-5194.83,-1.88353,1.33853,0.852448,1.02407,5.32162,0.843379,1.4471,1,0,0,1,661,661
"662",-5189.58,-1.9777,1.32362,0.875481,0.988987,5.45893,0.850307,1.45177,1,0,0,1,662,662
"663",-5189.53,-1.2776,1.32527,0.855218,1.0313,5.49685,0.86127,1.45118,1,0,0,1,663,663
"664",-5192.64,-3.71313,1.30957,0.837101,1.05826,5.37102,0.858333,1.43668,1,0,0,1,664,664
"665",-5188.49,-3.0978,1.32142,0.870269,1.03424,5.59549,0.86094,1.45305,1,0,0,1,665,665
"666",-5194.32,-2.14666,1.33306,0.842102,0.970485,5.19581,0.853354,1.45228,1,0,0,1,666,666
"667",-5190.39,-3.85174,1.30551,0.845324,1.01166,5.38201,0.863752,1.44072,1,0,0,1,667,667
"668",-5204.09,-3.84456,1.34065,0.86801,0.97074,5.30855,0.862638,1.41855,1,0,0,1,668,668
"669",-5193.65,-3.59031,1.31365,0.828786,1.04136,5.2302,0.854376,1.45404,1,0,0,1,669,669
"670",-5196.64,-2.59261,1.34332,0.863107,1.00814,5.15882,0.853198,1.45795,1,0,0,1,670,670
"671",-5192.14,-4.0506,1.32582,0.843137,1.04682,5.46879,0.83951,1.45371,1,0,0,1,671,671
"672",-5202.98,-5.33834,1.36622,0.872195,1.01376,5.43924,0.852091,1.45568,1,0,0,1,672,672
"673",-5191.6,-1.1301,1.33487,0.866024,0.973213,5.36507,0.857949,1.45116,1,0,0,1,673,673
"674",-5194.32,-1.45514,1.32927,0.867433,1.00231,5.44508,0.853648,1.42697,1,0,0,1,674,674
"675",-5191.05,-0.975673,1.3322,0.839023,1.02597,5.4461,0.851271,1.45614,1,0,0,1,675,675
"676",-5204.54,-3.91182,1.34621,0.847518,0.94677,5.33289,0.85802,1.42429,1,0,0,1,676,676
"677",-5199.5,-2.66277,1.35728,0.864254,1.0124,5.4201,0.855793,1.4519,1,0,0,1,677,677
"678",-5199.32,-4.17273,1.34039,0.860435,1.03234,5.56754,0.841443,1.43168,1,0,0,1,678,678
"679",-5193.98,-0.523546,1.33966,0.856745,1.00005,5.4119,0.851127,1.44284,1,0,0,1,679,679
"680",-5195.45,-1.78794,1.33611,0.863918,1.03703,5.20092,0.854671,1.45552,1,0,0,1,680,680
"681",-5196.72,-2.53872,1.33753,0.86291,1.0069,5.59304,0.852122,1.42759,1,0,0,1,681,681
"682",-5194.11,-1.25324,1.33992,0.831866,1.0034,5.45101,0.851637,1.45131,1,0,0,1,682,682
"683",-5199.85,-2.89903,1.35444,0.847991,0.990312,5.35884,0.846452,1.44548,1,0,0,1,683,683
"684",-5190.09,-1.49712,1.32241,0.858885,0.988884,5.52161,0.855108,1.43796,1,0,0,1,684,684
"685",-5199.1,-1.2604,1.34008,0.84912,0.99008,5.4009,0.855564,1.42706,1,0,0,1,685,685
"686",-5196.36,-2.36789,1.33876,0.832974,0.986596,5.3703,0.844687,1.43779,1,0,0,1,686,686
"687",-5189.79,-3.80923,1.32049,0.84464,1.07303,5.48035,0.852153,1.46648,1,0,0,1,687,687
"688",-5191.79,-0.935058,1.33499,0.857176,1.02959,5.38871,0.859431,1.46056,1,0,0,1,688,688
"689",-5187.47,-3.13519,1.30833,0.848539,1.00547,5.45929,0.860128,1.45525,1,0,0,1,689,689
"690",-5198.31,-7.91254,1.337,0.923263,0.986399,5.42427,0.853414,1.45844,1,0,0,1,690,690
"691",-5194,-1.81303,1.32726,0.855847,0.972758,5.41126,0.863252,1.43402,1,0,0,1,691,691
"692",-5197.25,-3.96737,1.32998,0.883725,1.02885,5.36663,0.869292,1.43304,1,0,0,1,692,692
"693",-5193.75,-1.72384,1.33705,0.868628,1.05409,5.36966,0.859158,1.45713,1,0,0,1,693,693
"694",-5201.19,-2.61357,1.34557,0.83456,1.05164,5.44469,0.863795,1.4443,1,0,0,1,694,694
"695",-5193.89,-3.27982,1.34136,0.84206,1.01865,5.31091,0.843476,1.46679,1,0,0,1,695,695
"696",-5202.87,-2.76619,1.33891,0.836326,1.08016,5.34598,0.856808,1.4349,1,0,0,1,696,696
"697",-5199.01,-2.84452,1.32477,0.851543,1.07423,5.27503,0.861747,1.43597,1,0,0,1,697,697
"698",-5189.79,-2.83333,1.32112,0.838103,1.00722,5.33074,0.852964,1.47272,1,0,0,1,698,698
"699",-5195.87,-1.13589,1.34387,0.851779,1.01365,5.47638,0.849932,1.44101,1,0,0,1,699,699
"700",-5204.61,-3.1574,1.34673,0.856928,1.06124,5.42932,0.85203,1.42394,1,0,0,1,700,700
"701",-5198.33,-1.94406,1.33267,0.830353,1.04338,5.43381,0.862531,1.43666,1,0,0,1,701,701
"702",-5194.02,-2.126,1.34164,0.856921,1.04992,5.38728,0.849335,1.46286,1,0,0,1,702,702
"703",-5204.56,-3.17381,1.34109,0.830643,0.96527,5.3659,0.859937,1.42506,1,0,0,1,703,703
"704",-5198,-6.85528,1.35971,0.854051,0.980583,5.54416,0.848662,1.47628,1,0,0,1,704,704
"705",-5191.47,-5.12517,1.31624,0.896875,1.00487,5.39871,0.848778,1.46117,1,0,0,1,705,705
"706",-5196.66,-3.45301,1.34358,0.8449,0.947459,5.23681,0.849641,1.44748,1,0,0,1,706,706
"707",-5188.24,-3.78305,1.30747,0.843731,0.964601,5.38721,0.85384,1.44838,1,0,0,1,707,707
"708",-5202.42,-3.42632,1.35173,0.830784,1.06268,5.46233,0.857951,1.44619,1,0,0,1,708,708
"709",-5191.14,-1.65947,1.32153,0.859843,1.03609,5.35497,0.863572,1.45148,1,0,0,1,709,709
"710",-5200.98,-4.44572,1.35232,0.862931,0.97973,5.3083,0.868839,1.45747,1,0,0,1,710,710
"711",-5199.54,-6.03524,1.34197,0.873469,0.917044,5.45007,0.859057,1.43223,1,0,0,1,711,711
"712",-5198.54,-1.33043,1.34098,0.85074,1.03374,5.46563,0.853904,1.42968,1,0,0,1,712,712
"713",-5189.92,-4.02904,1.32177,0.82685,1.00652,5.55375,0.844908,1.4582,1,0,0,1,713,713
"714",-5191.47,-3.64046,1.31795,0.865114,1.0588,5.50508,0.845588,1.44616,1,0,0,1,714,714
"715",-5193.72,-3.37513,1.31401,0.830373,0.996908,5.33244,0.865203,1.45113,1,0,0,1,715,715
"716",-5193.38,-3.8845,1.34463,0.858556,0.966514,5.5448,0.86127,1.46725,1,0,0,1,716,716
"717",-5196.09,-0.410994,1.3362,0.852584,1.0246,5.36478,0.860181,1.44017,1,0,0,1,717,717
"718",-5205.16,-3.58026,1.32765,0.832506,1.0444,5.31018,0.864702,1.42161,1,0,0,1,718,718
"719",-5194.48,-4.56942,1.32133,0.832165,1.03887,5.2013,0.841505,1.44503,1,0,0,1,719,719
"720",-5195.19,-6.70533,1.31072,0.842512,1.06213,5.34504,0.872114,1.46128,1,0,0,1,720,720
"721",-5198.8,-1.82282,1.34969,0.842454,1.0327,5.32446,0.852934,1.45532,1,0,0,1,721,721
"722",-5193.59,-3.08431,1.32743,0.860303,1.03592,5.63024,0.852031,1.42969,1,0,0,1,722,722
"723",-5192.92,-2.12442,1.33556,0.875722,1.0148,5.50888,0.864025,1.44447,1,0,0,1,723,723
"724",-5199.47,-2.72273,1.34168,0.856705,1.04471,5.26887,0.843921,1.43873,1,0,0,1,724,724
"725",-5193.71,-1.29412,1.34217,0.864556,1.0153,5.4202,0.848399,1.45239,1,0,0,1,725,725
"726",-5200.95,-2.53115,1.34704,0.844231,1.02181,5.34917,0.844625,1.43383,1,0,0,1,726,726
"727",-5191.1,-2.0816,1.32208,0.839314,1.00026,5.53876,0.850687,1.4345,1,0,0,1,727,727
"728",-5188.78,-2.30853,1.32138,0.874281,0.976664,5.29082,0.851186,1.45002,1,0,0,1,728,728
"729",-5196.11,-2.33607,1.35236,0.847116,1.00629,5.47232,0.852643,1.45919,1,0,0,1,729,729
"730",-5193.19,-1.36758,1.33635,0.847686,0.987111,5.55589,0.853673,1.44092,1,0,0,1,730,730
"731",-5192.11,-2.6508,1.31859,0.858124,0.970611,5.29294,0.852782,1.42853,1,0,0,1,731,731
"732",-5191.85,-2.82971,1.34042,0.874734,0.970217,5.4392,0.852953,1.46431,1,0,0,1,732,732
"733",-5198.96,-2.81174,1.33868,0.84702,0.999754,5.14225,0.86112,1.45919,1,0,0,1,733,733
"734",-5190.29,-2.59833,1.31573,0.868179,1.04144,5.37611,0.863377,1.44593,1,0,0,1,734,734
"735",-5191.03,-0.847509,1.33214,0.844551,0.989278,5.4861,0.8516,1.44806,1,0,0,1,735,735
"736",-5190.76,-2.54242,1.32181,0.885965,1.03164,5.33092,0.852617,1.4498,1,0,0,1,736,736
"737",-5196.91,-4.50816,1.32971,0.842593,1.00324,5.20892,0.839402,1.42991,1,0,0,1,737,737
"738",-5192.68,-3.67642,1.31663,0.874922,1.01466,5.48774,0.846598,1.42947,1,0,0,1,738,738
"739",-5211.27,-4.68333,1.35498,0.815128,0.994955,5.37412,0.856693,1.43039,1,0,0,1,739,739
"740",-5190.66,-0.986095,1.32358,0.851256,1.01202,5.42832,0.862765,1.44715,1,0,0,1,740,740
"741",-5193.32,-3.98747,1.31392,0.853342,1.05412,5.27383,0.845395,1.43371,1,0,0,1,741,741
"742",-5195.8,-3.42311,1.33379,0.877765,0.950598,5.3121,0.857322,1.43046,1,0,0,1,742,742
"743",-5188.47,-5.75458,1.31228,0.835852,1.03183,5.72141,0.857848,1.44356,1,0,0,1,743,743
"744",-5192.79,-2.73452,1.31248,0.830908,1.01148,5.27753,0.857964,1.44559,1,0,0,1,744,744
"745",-5199.37,-3.56263,1.32409,0.844807,0.972419,5.28864,0.855551,1.41557,1,0,0,1,745,745
"746",-5189.51,-2.60339,1.3322,0.85458,1.03585,5.5665,0.860038,1.46615,1,0,0,1,746,746
"747",-5204.68,-3.89087,1.32828,0.823325,1.03241,5.15796,0.864243,1.44613,1,0,0,1,747,747
"748",-5193.14,-2.18283,1.32609,0.843633,0.983865,5.17184,0.854409,1.45369,1,0,0,1,748,748
"749",-5195.22,-2.41474,1.33029,0.866393,1.01251,5.15664,0.84916,1.43955,1,0,0,1,749,749
"750",-5211.43,-3.86473,1.34198,0.844527,1.04352,5.2688,0.866122,1.42095,1,0,0,1,750,750
"751",-5192.53,-0.337264,1.33375,0.865356,1.01925,5.37155,0.853511,1.44487,1,0,0,1,751,751
"752",-5200.76,-7.27816,1.3467,0.848147,1.10437,5.32775,0.85914,1.4795,1,0,0,1,752,752
"753",-5191.37,-2.83771,1.31974,0.84087,1.06282,5.52749,0.857239,1.43739,1,0,0,1,753,753
