"id","menus","rep","rep2","t1","t2","c1","c2","d1","d2","drift1","drift2","drift3","speed","precision","treatment","f1","f2","f3","stay","alpha","bias_att","bias_sim","bias_comp","target_a","comp_a","dec_a","target_s","comp_s","dec_s","target_c","comp_c","dec_c"
1,1,1,1,1.5,1,1,1.5,1.5,0.85,2.45146846220223,2.47941152456186,0.925887848235918,2.80707959298069,0.732873255270516,1,0.13670735958754,0.144359455923953,-0.281066815511493,1.170275744,1.750312845,0.2434410703454,0.0265565581927136,0.0838991453273179,0.45414437619127,0.463243692062326,0.0826119317464031,0.300266762165502,0.349805536009531,0.349927701824967,0.346721550617424,0.415001414558904,0.238277034823672
2,1,1,2,1.5,1,1,1.5,1.5,0.85,2.40823565086262,2.42056337062148,1.3982136935159,2.78338304948099,0.665701966258548,1,0.123711639597656,0.128297460683149,-0.252009100280806,0.8006750495,1.750312845,0.218258327234067,0.0264952937481498,0.0458696719991791,0.417522049249548,0.421270154182866,0.161207796567586,0.310519741871266,0.342647936239922,0.346832321888812,0.322952359659626,0.37225526113616,0.304792379204215
3,1,1,3,1.5,1,1,1.5,1.5,0.85,4.33358002584936,4.33053947998273,1.85473990416791,4.81523488613067,0.688753059765082,1,0.158646881758183,0.158063808050944,-0.316710689809127,0.536785477,1.750312845,0.274279657964762,0.0175525144853897,0.138942868416134,0.449401133349858,0.448849386013383,0.10174948063676,0.316491921973968,0.34591537130335,0.337592706722683,0.382618112126932,0.413558443663388,0.20382344420968
4,1,1,4,1.5,1,1,1.5,1.5,0.85,2.79564978914769,2.89849099373612,1.33876395711619,3.35108403454278,0.72728081242563,1,0.10575128561106,0.12984707103481,-0.23559835664587,0.9702008765,1.750312845,0.20438955687479,0.0293658953825109,0.0498821134819957,0.427190103604993,0.455074155552901,0.117735740842105,0.298605193421022,0.343755475788249,0.357639330790729,0.274608895318364,0.352292630770305,0.373098473911331
5,1,1,5,1.5,1,1,1.5,1.5,0.85,0.797387836380368,0.895981108027141,0.155598282592491,1.07601237716627,0.899284101457825,1,0.07941851792835,0.122663281024096,-0.202081798952446,0.88386568855,1.750312845,0.176338644331565,0.0464390120713523,0.0615391173371456,0.437901410780226,0.537023590677338,0.0250749985424364,0.225197233539027,0.367389450232189,0.407413316228785,0.201433167564775,0.456528914486074,0.342037917949151
6,1,1,6,1.5,1,1,1.5,1.5,0.85,2.66202750060942,2.59146055288577,1.51435881150481,3.10247174836304,0.690106277924093,1,0.120108688994995,0.0992366097652334,-0.219345298760228,0.630786164,1.750312845,0.190245055097376,0.0222535737340701,0.0355982183512742,0.429806444260365,0.410062812149392,0.160130743590242,0.311193542550659,0.342059090705899,0.346747366743443,0.321587635777748,0.36889407413687,0.309518290085381
7,1,1,7,1.5,1,1,1.5,1.5,0.85,3.49489272802723,3.55160080133806,2.34526441063471,4.00468295820956,0.620282303473979,1,0.125329480871369,0.144838297075701,-0.27016777794707,0.873993885,1.750312845,0.234175403614612,0.0344900143142479,0.0783698916310537,0.395875089727717,0.407186507041913,0.19693840323037,0.311957239315346,0.34287203001365,0.345170730671004,0.331718017113967,0.376507862352758,0.291774120533276
8,1,1,8,1.5,1,1,1.5,1.5,0.85,2.08287604261844,2.43645089533854,0,2.47420952035299,0.896142072412045,1,0.126797165585163,0.194780316816236,-0.273685153537822,1.116245314,1.750312845,0.253136226070562,0.0633861091173977,0.198797344026479,0.431818287949115,0.568181712050885,0,0.188849309543095,0.405887854198713,0.405262836258192,0.337075582498649,0.64472050401323,0.0182039134881209
9,1,1,9,1.5,1,1,1.5,1.5,0.85,3.82985542343649,3.750923929959,1.91484779660451,4.35886988008202,0.691424672255817,1,0.13907885152703,0.122562246756581,-0.261641098283611,0.5456065,1.750312845,0.226738280384183,0.0179434252747507,0.0594280495569118,0.442199665269072,0.426371693639394,0.131428641091535,0.315199143318869,0.34273315619937,0.342067700481762,0.344514060305608,0.378399654521531,0.277086285172861
10,1,1,10,1.5,1,1,1.5,1.5,0.85,3.147022853681,3.89599857634193,1.02751034997706,3.88290330507188,0.736505852584162,1,0.0892311939389151,0.235521316660253,-0.324752510599168,0.6648196665,1.750312845,0.290599973944946,0.108223373680454,0.252616785632777,0.385497728446924,0.560155871077953,0.0543464004751232,0.20357835106763,0.39100175531178,0.40541989362059,0.302780571800691,0.601233821950719,0.0959856062485906
11,1,1,11,1.5,1,1,1.5,1.5,0.85,2.02134344575456,1.76321863645845,1.27391244278699,2.21105751208714,0.64410085884918,1,0.177642145548725,0.0408406541243206,-0.218482799673045,1.715745711,1.750312845,0.201195706536482,0.0321594628773217,0.0466341646827263,0.447821715930895,0.352575545855325,0.199602738213781,0.356996316347681,0.326547284550832,0.316456399101488,0.367074267744087,0.307334673147516,0.325591059108397
12,1,1,12,1.5,1,1,1.5,1.5,0.85,3.45705930839494,4.18098623404639,1.46385332755867,4.13090932600446,0.680441837710036,1,0.0983850629753368,0.266725340581325,-0.365110403556662,2.041370109,1.750312845,0.327206077808919,0.130268901367566,0.351852153798107,0.382108303380048,0.532982740217479,0.0849089564024735,0.215832586682173,0.390754733370551,0.393412679947276,0.338096277250728,0.581907065111388,0.0799966576378839
13,1,1,13,1.5,1,1,1.5,1.5,0.85,4.03463561202536,5.72061666592407,1.93731267205057,5.2633523807752,0.672513805210871,1,0.0260321589267057,0.346128858739012,-0.372161017665718,0.626043736,1.750312845,0.359851832856482,0.217238466981651,0.471640995885269,0.320569990311122,0.59066022977063,0.0887697799182476,0.155787051767509,0.411066661786004,0.433146286446487,0.277192390236726,0.67365751471629,0.0491500950469846
14,1,1,14,1.5,1,1,1.5,1.5,0.85,2.93359882059432,2.89717792570473,1.49997219370094,3.36451859373421,0.691256446802116,1,0.132943100952129,0.12306197812924,-0.256005079081369,2.207833695,1.750312845,0.221761943384463,0.0127519960074733,0.0166288631987275,0.437163435244406,0.427708037629597,0.135128527125997,0.320572543986583,0.33803174822618,0.341395707787236,0.321567622480237,0.349796300081391,0.328636077438373
15,1,1,15,1.5,1,1,1.5,1.5,0.85,4.09276977221009,4.07363433509092,1.72017350269899,4.64874416640106,0.714576620925671,1,0.141575306824865,0.138177218267693,-0.279752525092558,0.889774308,1.750312845,0.242278751076539,0.0163471879549279,0.0577385137512416,0.452250571194899,0.448556092634275,0.0991933361708262,0.314636906478002,0.342884733410121,0.342478360111877,0.34470589654905,0.383423327792593,0.271870775658357
16,1,1,16,1.5,1,1,1.5,1.5,0.85,1.50862819090958,1.82888384949315,0.544042413097267,1.92299366065324,0.764103606509884,1,0.0769288641121729,0.191638249744275,-0.268567113856448,1.932159863,1.750312845,0.239553296307754,0.0936889928429657,0.177498297252186,0.389343622158179,0.545338369437837,0.065318008403984,0.206044346701086,0.385635363985069,0.408320289313845,0.2782551719477,0.572759447647642,0.148985380404658
