"treatment","I","gamma","m","lam","beta","stay","alpha"
1,1.952255945,3.651687215,1.0485415465,0.3092752115,0.7986431175,1.170275744,1.750312845
1,2.075670905,2.68822519,0.9552889775,0.368195072,0.815204582,0.8006750495,1.750312845
1,3.50628647,5.21468526,1.175496888,0.21924376205,0.826249541,0.536785477,1.750312845
1,2.34430158,4.268016285,0.81934473,0.2595237892,0.686250881,0.9702008765,1.750312845
1,0.616322409,2.2798892765,0.7233312575,0.52612712025,0.6596253125,0.88386568855,1.750312845
1,2.255948955,3.380925635,0.9435963595,0.57907373395,0.8889046805,0.630786164,1.750312845
1,3.13058598,2.906792125,0.994856381,0.35115750315,0.7578668215,0.873993885,1.750312845
1,1.423414274,5.20091885,1.1202046565,0.35473767265,0.6092253145,1.116245314,1.750312845
1,3.16520905,4.778917615,1.047423932,0.37971658105,0.8832672895,0.5456065,1.750312845
1,2.69017726,5.11979694,1.000880475,0.443551534,0.401292027,0.6648196665,1.750312845
1,1.686158175,1.88685669,1.2203465425,0.5581390382,1.121826829,1.715745711,1.750312845
1,3.03396629,4.30037859,1.1845273355,0.5202540475,0.45979867865,2.041370109,1.750312845
1,3.89752165,5.267099145,0.9616013875,0.7962131115,0.2321865799,0.626043736,1.750312845
1,2.44358298,3.685906505,0.9592459765,0.26011797253,0.884036316,2.207833695,1.750312845
1,3.29552587,5.63123556,1.0376027605,0.247591988775,0.846095062,0.889774308,1.750312845
1,1.2938514845,2.79188714,0.872363808,0.59301931325,0.51181826565,1.932159863,1.750312845
1,2.57657838,4.503015695,1.0280002875,0.5667299985,0.451256958,0.5749573245,1.750312845
1,2.612266585,2.85292177,0.996645463,0.2717485052,0.801179497,0.811454484,1.750312845
1,1.0839064195,2.93001686,1.1119919205,0.20305399605,0.8314345975,1.521991885,1.750312845
1,0.984098742,3.430884395,0.755929572,0.4085024844,0.733410404,1.2286706055,1.750312845
1,2.928485015,5.301126515,1.1417847025,0.349432617,0.4813837927,0.8003489235,1.750312845
1,2.433711,3.316937565,1.083931596,0.56044945725,0.910062828,0.4764206295,1.750312845
1,2.620404025,3.34425227,0.9152638895,0.3024197888,0.681771696,0.6451247585,1.750312845
1,3.14705828,2.028143804,0.989583426,0.6962737883,0.48805142065,0.697399862,1.750312845
1,2.45724298,4.149532375,0.9265891775,0.50746467235,0.6332592985,1.5420656855,1.750312845
1,2.651362625,2.95432437,1.0162423615,0.39298292725,0.6766642335,0.667904982,1.750312845
1,2.819409595,3.687906945,1.08095788,0.20267202205,0.9390427665,0.8797725505,1.750312845
1,2.357081705,3.04172121,0.9685681555,0.36951997145,0.836605577,2.003284493,1.750312845
1,3.24104662,4.65870896,0.942453599,0.45307354625,0.675576088,0.7537700885,1.750312845
1,2.779970315,4.01036088,1.066004653,0.53759459165,0.717039046,0.4862963515,1.750312845
1,2.079923395,4.367203825,0.902617472,0.4398365027,0.5204580125,0.651103596,1.750312845
1,1.9854819,3.70251609,0.9587200425,0.860222507,1.1307589785,0.559426758,1.750312845
1,0.7966651015,2.31337371,1.139665833,0.4601037009,0.5470316515,0.80037225235,1.750312845
1,3.703359475,3.87685088,1.066318889,0.6040381173,0.666265396,0.7643567895,1.750312845
1,1.80112493,2.934753055,1.006563696,0.3038480166,0.787115709,1.542391736,1.750312845
1,1.874281195,5.851687785,1.254789585,0.21771192535,0.542324481,0.7218438245,1.750312845
1,2.180593985,4.477363185,0.9071208605,0.52224732445,0.4585733925,0.759200024,1.750312845
1,2.028439975,2.2497471775,1.0475570955,0.53282814445,0.702872102,0.731484622,1.750312845
1,0.7654641315,3.016947185,1.005705337,0.3994836287,1.2256953435,0.9766485065,1.750312845
1,2.764247635,4.62742321,1.172838344,0.6235311174,0.674069446,0.5209919865,1.750312845
1,3.911862525,4.55157265,1.035221169,0.865017458,0.31096061065,0.589214408,1.750312845
1,1.793343265,3.7629816,0.8903867845,0.4156570263,0.8394706555,1.143496359,1.750312845
1,1.0072822355,2.0788919355,0.9189202515,0.37326152355,0.917702204,1.479665801,1.750312845
1,2.948384055,2.928414175,0.917556785,0.507356594,0.6661058575,0.1842782141,1.750312845
1,1.60612824,1.8420524495,0.8116398315,0.51620993755,0.57411836,0.62264811025,1.750312845
1,1.1943496545,3.0770314,0.770663895,0.31577214435,0.7230299965,0.6645437802,1.750312845
1,2.290343515,4.09700912,0.8812265945,0.619324776,0.37131332645,0.9865886995,1.750312845
1,2.683298035,4.79289921,1.0893293255,0.6878251485,1.191458835,0.27456225525,1.750312845
1,1.866272135,2.748809095,0.969622142,0.519594428,0.5939063065,1.8017646095,1.750312845
1,0.937884189,2.0296878775,0.8680617615,0.385154418,0.80493453,1.20813388,1.750312845
1,1.935620935,2.388179022,0.917529583,0.788799197,0.4729477595,1.439716196,1.750312845
1,3.814065345,2.7705960325,1.018520053,0.809580845,1.0812884735,0.420096014,1.750312845
1,2.28980925,2.967439895,0.956534474,0.684055791,0.7899382905,0.7839561325,1.750312845
1,2.463927065,5.26285308,0.870771045,0.7658980825,0.31350677275,0.7210317055,1.750312845
1,2.40465558,4.34966318,1.1435037455,0.49296752995,0.9466237185,0.7451517845,1.750312845
1,2.489170085,3.48381682,0.9568217105,0.271909118025,0.8837663645,0.5883277165,1.750312845
1,2.716338405,3.62216825,1.104393377,0.56295379735,1.070186145,0.26277815565,1.750312845
1,3.213938045,5.95783315,1.1550443955,1.2743461735,0.15992447952,1.3515916915,1.750312845
1,1.3907726395,2.074897445,1.0328665005,1.049456983,0.31880333635,0.944241033,1.750312845
1,2.643512795,4.930032535,0.899078659,0.30721793965,0.52060222345,0.8294281355,1.750312845
1,2.77064082,2.920638355,0.9946179975,0.637781177,0.677804397,0.699094544,1.750312845
1,1.644503095,0.8647139365,0.854727081,0.6732816794,0.54707175375,1.90391225,1.750312845
1,3.248906485,5.344805415,0.7228061045,0.2829186552,0.5776803375,0.8925347585,1.750312845
2,1.72416214,3.445960615,1.2184343075,0.19494288325,1.1570673995,0.96737295,1.796280015
2,2.862232215,3.893816895,1.0020496935,0.27955511365,1.325035622,0.784837986,1.796280015
2,2.4642127,4.235675615,1.128936553,0.36999263225,1.286856014,0.462808689,1.796280015
2,2.59936197,4.036746485,0.808422148,0.183515245415,1.0428774355,0.935637113,1.796280015
2,4.613820235,4.291734025,1.1074002665,0.3226057446,1.3178927515,0.341835026,1.796280015
2,2.45648288,3.80258648,1.07454577,0.4035044348,1.1995113005,0.784165967,1.796280015
2,2.051419285,3.77343656,1.0277916735,0.28898251805,0.867119264,1.0388916645,1.796280015
2,0.33911422875,3.12403755,1.075705363,0.3676062959,0.8101786585,0.850769604,1.796280015
2,3.06502449,4.34162308,1.030042865,0.33324987545,1.312168357,0.5670963535,1.796280015
