"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"54",-922.766,-1.97983,1.56132,0.97714,0.102997,2.75889,1.21945,0.88524,1.36571,1,0,1,54,54
"55",-922.565,-3.29665,1.57518,1.02223,0.145972,2.72058,1.073,0.929579,1.3715,1,0,1,55,55
"56",-919.983,-1.64295,1.53697,0.975728,0.144302,2.82472,1.24186,0.963292,1.3501,1,0,1,56,56
"57",-921.031,-1.36841,1.52044,1.01952,0.134105,2.64515,1.14821,0.998728,1.37307,1,0,1,57,57
"58",-925.664,-7.98767,1.43189,1.03935,0.168158,2.58068,1.19089,0.811703,1.36241,1,0,1,58,58
"59",-927.599,-3.88979,1.46802,1.0011,0.164955,2.50875,1.31603,0.99461,1.36482,1,0,1,59,59
"60",-922.74,-3.03944,1.54093,1.01032,0.0856849,2.56886,1.38957,0.899201,1.37125,1,0,1,60,60
"61",-924.223,-1.66905,1.56615,1.02726,0.107813,2.59957,1.27638,0.926959,1.34025,1,0,1,61,61
"62",-927.358,-1.99243,1.54049,0.953617,0.0998852,2.59082,1.25727,0.926128,1.36503,1,0,1,62,62
"63",-925.968,-3.96493,1.50362,1.0686,0.105664,2.7132,1.33374,0.967408,1.31435,1,0,1,63,63
"64",-921.093,-1.73752,1.48189,1.03589,0.135109,2.64748,1.21542,0.991819,1.35879,1,0,1,64,64
"65",-932.311,-12.2394,1.56022,0.942687,0.0526273,2.9021,1.23976,1.01531,1.32599,1,0,1,65,65
"66",-922.146,-1.66272,1.52988,1.04928,0.115224,2.70766,1.31345,0.935071,1.37478,1,0,1,66,66
"67",-924.88,-3.89291,1.58658,0.968154,0.109071,2.82183,1.15167,0.917885,1.37559,1,0,1,67,67
"68",-923.066,-2.14748,1.50218,0.99355,0.112288,2.85881,1.33995,0.971675,1.34081,1,0,1,68,68
"69",-924.893,-3.46684,1.52372,1.02194,0.156089,2.71462,1.2956,1.07418,1.33794,1,0,1,69,69
"70",-921.963,-1.29489,1.56054,0.985623,0.103643,2.72987,1.23105,0.934249,1.36748,1,0,1,70,70
"71",-922.072,-2.62719,1.51393,1.0757,0.139382,2.65609,1.20035,0.915137,1.35575,1,0,1,71,71
"72",-921.374,-1.86258,1.50559,0.975672,0.147752,2.73915,1.10124,0.956601,1.34742,1,0,1,72,72
"73",-925.813,-1.12924,1.53671,0.977828,0.127537,2.58417,1.17247,0.896336,1.36489,1,0,1,73,73
"74",-923.614,-3.26376,1.49192,0.991902,0.10091,2.65397,1.11065,0.906817,1.3062,1,0,1,74,74
"75",-920.303,-0.50706,1.52242,0.999903,0.10062,2.68994,1.26068,0.933363,1.36629,1,0,1,75,75
"76",-921.59,-2.45386,1.47469,1.01634,0.156485,2.6097,1.21286,0.960429,1.32578,1,0,1,76,76
"77",-921.292,-1.62411,1.50635,1.00639,0.0919583,2.67987,1.20395,0.910974,1.32408,1,0,1,77,77
"78",-920.101,-1.82827,1.4783,0.998485,0.165193,2.69407,1.20019,0.935914,1.36205,1,0,1,78,78
"79",-921.609,-1.13678,1.52593,0.990909,0.0987932,2.74909,1.17925,0.955491,1.33522,1,0,1,79,79
"80",-930.871,-4.87226,1.49014,1.0409,0.173643,2.86807,1.37767,0.88616,1.339,1,0,1,80,80
"81",-925.027,-3.07491,1.52558,0.995924,0.106755,2.60971,1.082,0.875622,1.39403,1,0,1,81,81
"82",-923.716,-2.79279,1.52859,0.973144,0.141096,2.70827,1.19258,0.82054,1.35918,1,0,1,82,82
"83",-920.63,-0.902211,1.52068,1.02377,0.11789,2.65823,1.17624,0.942145,1.38056,1,0,1,83,83
"84",-925.604,-1.48734,1.51438,0.993672,0.155312,2.53667,1.19503,0.953832,1.36514,1,0,1,84,84
"85",-922.429,-3.16467,1.46449,0.982465,0.139883,2.64633,1.12498,0.922596,1.3205,1,0,1,85,85
"86",-924.063,-4.91241,1.48373,1.04325,0.100556,2.46802,1.35021,0.868411,1.32698,1,0,1,86,86
"87",-923.196,-0.872853,1.51843,0.997874,0.109634,2.56889,1.17198,0.895283,1.35642,1,0,1,87,87
"88",-922.315,-3.14579,1.54405,1.02161,0.0977847,2.70132,1.36275,0.976618,1.39812,1,0,1,88,88
"89",-920.752,-1.76097,1.51372,0.997276,0.159089,2.69107,1.17463,0.975783,1.3835,1,0,1,89,89
