"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"53",-9456.5,-4.32029,1.31592,0.88305,0.852131,4.57127,0.886695,1.09736,1.44998,1,0,1,53,53
"54",-9439.49,-8.28479,1.29903,0.879378,0.869034,4.66378,0.870181,1.04387,1.46334,1,0,1,54,54
"55",-9444.65,-5.73746,1.29964,0.889199,0.874471,4.62569,0.871845,1.11643,1.45361,1,0,1,55,55
"56",-9445.23,-2.85245,1.32115,0.899246,0.823119,4.71542,0.879833,1.12137,1.45782,1,0,1,56,56
"57",-9449.55,-6.82634,1.32034,0.902953,0.917182,4.60678,0.881324,1.08363,1.46062,1,0,1,57,57
"58",-9441.41,-2.51043,1.30197,0.908033,0.82303,4.6573,0.887161,1.0877,1.45294,1,0,1,58,58
"59",-9441.12,-1.24104,1.3022,0.902444,0.864634,4.66243,0.883123,1.08412,1.44915,1,0,1,59,59
"60",-9449.21,-6.09724,1.31736,0.930882,0.814132,4.65138,0.876972,1.15855,1.44898,1,0,1,60,60
"61",-9441.75,-2.10628,1.3067,0.894697,0.860434,4.59685,0.877138,1.05098,1.45075,1,0,1,61,61
"62",-9451.23,-4.8913,1.30229,0.888184,0.827522,4.66343,0.877965,1.11532,1.43064,1,0,1,62,62
"63",-9444.56,-3.42878,1.32819,0.909947,0.824041,4.64045,0.872717,1.0845,1.45059,1,0,1,63,63
"64",-9442.32,-1.53892,1.3061,0.915216,0.845708,4.70892,0.879193,1.12658,1.44705,1,0,1,64,64
"65",-9445.58,-1.01703,1.32039,0.913836,0.862814,4.65183,0.878799,1.1002,1.44685,1,0,1,65,65
"66",-9440.55,-2.33206,1.31628,0.905765,0.88437,4.65951,0.88003,1.06151,1.4599,1,0,1,66,66
"67",-9454.6,-6.27542,1.32037,0.916958,0.833023,4.45332,0.887109,1.031,1.44511,1,0,1,67,67
"68",-9443.54,-1.27594,1.30624,0.895133,0.842335,4.66178,0.879979,1.07038,1.44129,1,0,1,68,68
"69",-9441.41,-1.27501,1.3058,0.901474,0.857185,4.62905,0.883936,1.08829,1.45717,1,0,1,69,69
"70",-9438.23,-5.18512,1.30346,0.895907,0.842265,4.6466,0.872196,1.10527,1.4725,1,0,1,70,70
"71",-9456.45,-3.24384,1.3167,0.913168,0.860257,4.5796,0.884061,1.09447,1.42892,1,0,1,71,71
"72",-9442.9,-2.28046,1.30347,0.910876,0.880307,4.58996,0.878,1.08831,1.44659,1,0,1,72,72
"73",-9439.29,-3.02031,1.31849,0.90794,0.824174,4.57293,0.877855,1.08048,1.46812,1,0,1,73,73
"74",-9439.86,-2.52148,1.32185,0.910944,0.858275,4.58915,0.877719,1.06249,1.46719,1,0,1,74,74
"75",-9440.44,-4.72457,1.2996,0.926624,0.858699,4.49122,0.882286,1.09765,1.46348,1,0,1,75,75
"76",-9447.61,-4.47619,1.31635,0.890415,0.858948,4.79282,0.876501,1.13649,1.45127,1,0,1,76,76
"77",-9441.36,-0.820098,1.30845,0.907504,0.858256,4.60912,0.876907,1.08585,1.44846,1,0,1,77,77
"78",-9454.7,-6.51247,1.33492,0.90929,0.817694,4.7536,0.883435,1.02718,1.43473,1,0,1,78,78
"79",-9439.26,-3.81704,1.29556,0.912471,0.859757,4.5835,0.877752,1.02668,1.44114,1,0,1,79,79
"80",-9444.43,-2.59701,1.31717,0.893197,0.850581,4.72265,0.881248,1.02995,1.44495,1,0,1,80,80
"81",-9451.21,-3.25353,1.33707,0.916689,0.855747,4.6711,0.87806,1.09036,1.44676,1,0,1,81,81
"82",-9441.49,-3.89748,1.31457,0.923151,0.888313,4.76856,0.874906,1.07368,1.44409,1,0,1,82,82
"83",-9441.9,-1.79774,1.30903,0.902406,0.842581,4.70359,0.876786,1.12408,1.45436,1,0,1,83,83
"84",-9436.03,-1.3181,1.30833,0.909181,0.838954,4.78482,0.881356,1.06555,1.4581,1,0,1,84,84
"85",-9442.9,-2.35476,1.31987,0.902648,0.819253,4.62864,0.880648,1.04128,1.45308,1,0,1,85,85
"86",-9442.52,-6.5692,1.30463,0.90242,0.89973,4.81208,0.888305,1.08299,1.44534,1,0,1,86,86
"87",-9439.97,-2.97209,1.30646,0.933084,0.844426,4.75226,0.886294,1.07156,1.4447,1,0,1,87,87
"88",-9446.88,-4.13802,1.30885,0.911695,0.862291,4.67108,0.891681,1.11146,1.45084,1,0,1,88,88
"89",-9440.11,-3.08797,1.30324,0.896296,0.817227,4.59232,0.877974,1.08929,1.45921,1,0,1,89,89
"90",-9436.62,-3.20028,1.30021,0.904335,0.845984,4.70038,0.875254,1.10577,1.46818,1,0,1,90,90
"91",-9450.88,-2.23496,1.32393,0.909135,0.855393,4.59371,0.879619,1.04874,1.43755,1,0,1,91,91
"92",-9449.73,-3.88382,1.31558,0.915123,0.843851,4.68053,0.891936,1.08873,1.44162,1,0,1,92,92
"93",-9442.2,-5.34246,1.31407,0.898512,0.836044,4.86498,0.888809,1.04452,1.45271,1,0,1,93,93
"94",-9439.31,-1.46374,1.31929,0.910915,0.85898,4.74488,0.879793,1.09793,1.4611,1,0,1,94,94
"95",-9437.39,-1.8499,1.31219,0.910712,0.841437,4.58905,0.874974,1.04935,1.45745,1,0,1,95,95
"96",-9440.36,-2.59541,1.31377,0.938834,0.849374,4.68649,0.881949,1.05569,1.44612,1,0,1,96,96
"97",-9440.49,-1.16034,1.30537,0.911916,0.832424,4.62491,0.878767,1.10881,1.45103,1,0,1,97,97
