"fourcluster","treatment","speed","precision","bias","stay","N"
1,1,4.2798667437289,0.646978709388497,0.247718334540013,0.755976182511111,1
1,2,5.69989812632725,0.630253874271395,0.226687062906245,0.686099130625,1
1,3,4.74472552040477,0.652550678247758,0.177961198126493,0.556131073333333,1
2,1,2.03930097761529,0.778185494512405,0.207296057788907,1.38541763494375,1
2,2,1.38523475032665,0.895926567255014,0.192292644765074,0.913141401454545,1
2,3,1.71216355161396,0.800324047020026,0.20111312593008,1.48820655110813,1
3,1,4.61214201693083,0.731001819386624,0.463864723145604,1.3515916915,1
3,3,3.62795110309248,0.747028564458473,0.3020841119382,1.6844116339375,1
4,1,3.45056792791592,0.696801583868474,0.20997327017597,0.782112466125676,1
4,2,3.39820789054291,0.722855295790193,0.222061910915211,0.8128140825,1
4,3,3.1745726231517,0.712960874981374,0.202065283400286,0.814796600835326,1
