"twocluster","treatment","speed","precision","bias","stay","N"
1,1,3.63972371969648,0.687152722227535,0.214075857609541,0.744462176073864,1
1,2,3.58593219786703,0.713841706406565,0.222117771837961,0.801397244657895,1
1,3,3.42143671101847,0.702454049259308,0.199734312876196,0.787968938889545,1
2,1,2.27804884308313,0.765879839010714,0.22945999580628,1.3949413154,1
2,2,1.39126116278713,0.910444765451761,0.190953507440023,0.9158721364,1
2,3,1.89891358453485,0.796255904153318,0.208275638552655,1.48666909635398,1
